status,seniority,home,time,age,marital,records,job,expenses,income,assets,debt,amount,price,finrat,savings,id
good,10,rent,60,28,single,no_rec,fixed,47,120,0,0,600,1054,57,7,86
good,27,owner,60,53,married,no_rec,fixed,60,125,10000,0,1426,1426,100,3,87
bad,0,rent,60,25,single,no_rec,partime,40,50,0,0,1040,1048,99,1,88
bad,25,rent,60,62,married,no_rec,fixed,60,146,0,0,1000,1292,77,5,89
good,3,parents,60,29,single,no_rec,fixed,35,70,0,0,950,1177,81,2,90
bad,9,parents,60,32,single,yes_rec,fixed,35,105,0,0,1490,1490,100,3,91
good,4,rent,36,21,married,no_rec,freelance,101,413,6000,0,750,850,88,15,92
good,6,rent,36,38,married,no_rec,freelance,95,500,25000,21400,800,1011,79,9,93
good,9,rent,48,56,married,no_rec,freelance,140,350,0,0,1400,1571,89,7,94
good,3,owner,36,41,married,no_rec,freelance,75,200,3000,0,1000,1000,100,4,95
bad,22,other,36,46,married,no_rec,fixed,45,138,0,0,250,270,93,13,96
good,3,owner,60,54,widow,no_rec,others,35,80,4000,0,950,1382,69,3,97
good,30,owner,36,51,married,no_rec,freelance,120,208,15000,0,1500,1713,88,2,98
good,8,rent,60,52,married,no_rec,fixed,89,137,4000,0,800,1086,74,4,99
good,38,owner,48,57,married,no_rec,freelance,45,58,12000,0,1500,3262,46,0,100
good,2,rent,60,33,married,no_rec,fixed,73,130,0,0,1100,1610,68,3,101
good,4,owner,60,33,married,no_rec,fixed,75,123,6000,1000,600,1030,58,4,102
bad,0,rent,36,29,married,no_rec,partime,78,180,0,0,650,650,100,6,103
bad,2,other,48,23,single,no_rec,fixed,35,140,0,0,1950,2175,90,3,104
good,8,owner,24,33,married,no_rec,fixed,75,315,4500,0,400,1780,22,14,105
bad,1,rent,36,24,married,no_rec,partime,76,164,0,0,900,950,95,4,106
bad,6,parents,60,28,married,no_rec,freelance,90,325,7000,0,1200,1211,99,12,107
good,5,owner,60,27,married,no_rec,fixed,45,135,5000,1400,1600,1650,97,3,108
bad,13,parents,36,33,single,no_rec,fixed,35,109,0,0,350,350,100,8,109
good,11,rent,60,32,married,no_rec,fixed,79,185,0,0,950,1117,85,7,110
good,10,owner,24,39,married,no_rec,fixed,45,217,9000,3000,1500,2468,61,2,111
bad,20,owner,60,51,married,no_rec,freelance,90,300,12500,2500,1340,1740,77,8,112
bad,0,owner,36,39,single,no_rec,freelance,35,77,4000,0,1000,1210,83,2,113
good,13,owner,48,29,married,no_rec,fixed,60,253,3000,0,670,963,70,14,114
bad,2,owner,36,32,married,no_rec,fixed,75,101,1500,400,1200,1646,73,1,115
bad,3,owner,36,40,married,yes_rec,freelance,35,200,10000,0,800,800,100,7,116
good,12,owner,36,47,married,no_rec,fixed,75,124,3500,0,460,470,98,4,117
good,20,owner,24,66,married,no_rec,fixed,45,143,10000,0,950,1370,69,2,118
good,3,priv,48,39,separated,no_rec,freelance,35,250,4000,1500,700,839,83,14,119
good,27,owner,60,50,married,no_rec,fixed,75,135,5500,1000,600,1346,45,5,120
good,4,rent,60,25,married,no_rec,fixed,57,115,0,0,900,1350,67,4,121
bad,1,owner,60,27,married,no_rec,partime,75,160,4000,3000,1800,2100,86,2,122
good,18,rent,60,54,married,no_rec,fixed,66,214,0,0,1300,1307,99,7,123
good,12,rent,60,42,married,no_rec,fixed,114,390,0,0,1100,1126,98,15,124
good,12,owner,48,35,separated,no_rec,freelance,45,500,200000,0,2380,4786,50,9,125
bad,0,parents,60,23,single,no_rec,partime,35,95,0,0,1400,1478,95,3,126
good,12,owner,60,52,married,no_rec,fixed,75,200,12000,0,1550,1568,99,5,127
good,0,parents,24,22,single,no_rec,partime,35,85,0,0,650,1056,62,2,128
good,10,other,18,48,married,no_rec,fixed,90,214,0,0,1000,1608,62,2,129
good,2,owner,60,25,married,no_rec,fixed,75,140,3000,0,950,1179,81,4,130
bad,10,other,60,26,married,no_rec,fixed,45,60,0,0,1400,1524,92,1,131
good,8,owner,60,28,married,no_rec,fixed,75,180,4000,0,1300,1730,75,5,132
good,20,owner,30,62,married,no_rec,freelance,60,300,24000,9000,600,823,73,8,133
good,0,rent,60,33,married,no_rec,freelance,65,200,0,0,700,800,88,12,134
good,16,parents,60,41,married,no_rec,fixed,75,242,0,0,1300,1482,88,8,135
good,4,owner,60,29,married,no_rec,partime,60,155,5000,2500,900,1110,81,5,136
bad,1,rent,60,37,single,no_rec,fixed,45,100,0,0,1150,1555,74,3,137
good,0,owner,60,31,married,no_rec,fixed,60,105,3500,0,1100,1170,94,2,138
good,15,owner,12,50,married,no_rec,freelance,45,166,2000,0,500,886,56,3,139
bad,13,rent,60,42,separated,yes_rec,fixed,47,120,0,0,800,1395,57,5,140
good,19,owner,36,33,married,no_rec,fixed,60,115,6700,2000,1000,2084,48,1,141
good,15,owner,24,54,married,no_rec,freelance,90,350,150000,0,3800,8800,43,2,142
good,40,owner,36,58,married,no_rec,freelance,75,214,50000,0,1000,1160,86,5,143
good,9,rent,60,40,married,no_rec,fixed,119,442,6000,1947,900,1211,74,20,144
bad,12,parents,60,31,separated,yes_rec,fixed,35,101,0,0,1300,1300,100,3,145
bad,0,owner,36,35,married,yes_rec,fixed,105,122,5200,2000,850,850,100,-0,146
good,14,owner,60,64,married,no_rec,freelance,60,250,10000,0,700,1204,58,16,147
good,10,parents,24,29,single,no_rec,freelance,35,90,0,0,600,1528,39,2,148
good,2,owner,48,33,married,no_rec,fixed,45,160,6000,0,1200,1298,92,5,149
good,15,owner,18,35,married,no_rec,freelance,60,300,4000,0,300,600,50,14,150
bad,1,parents,48,28,single,no_rec,fixed,35,83,0,0,1000,1320,76,2,151
good,27,owner,60,59,married,no_rec,freelance,45,200,11000,0,1100,1300,85,8,152
bad,0,other,60,25,married,no_rec,partime,60,60,0,0,1300,1380,94,0,153
bad,0,parents,60,23,single,no_rec,partime,35,205,0,0,1400,1426,98,7,154
good,3,owner,24,30,married,no_rec,freelance,75,133,12000,900,1500,5200,29,1,155
good,8,rent,36,36,married,no_rec,fixed,78,179,0,0,900,1503,60,4,156
good,3,owner,48,25,single,no_rec,freelance,35,69,4000,0,1200,1449,83,1,157
good,5,other,60,22,single,no_rec,fixed,45,195,0,0,700,1422,49,13,158
good,9,owner,24,45,married,no_rec,fixed,75,112,4000,0,500,1430,35,2,159
good,4,owner,30,47,married,no_rec,freelance,90,210,15000,0,1550,1578,98,2,160
good,14,priv,48,36,married,no_rec,fixed,75,155,3500,200,1100,1250,88,3,161
good,3,owner,36,36,single,yes_rec,freelance,35,394,16000,0,1500,2260,66,9,162
good,22,rent,36,60,married,no_rec,fixed,60,149,0,0,200,280,71,16,163
good,20,rent,48,59,married,no_rec,fixed,57,120,0,0,800,1298,62,4,164
bad,6,owner,48,58,married,yes_rec,freelance,60,400,86000,0,930,945,98,18,165
good,23,owner,12,37,married,no_rec,fixed,45,165,5000,0,900,1694,53,2,166
bad,5,owner,36,32,married,no_rec,freelance,75,125,6000,0,600,700,86,3,167
good,8,rent,48,26,single,no_rec,fixed,42,74,0,0,600,1290,47,3,168
good,5,owner,60,40,married,no_rec,fixed,75,86,4900,0,1300,1581,82,1,169
good,20,owner,48,55,married,no_rec,fixed,45,185,5000,0,1000,1383,72,7,170
good,11,rent,60,30,married,no_rec,fixed,77,165,0,0,1350,1637,82,4,171
good,25,parents,54,43,married,no_rec,fixed,75,110,7000,0,1275,1275,100,1,172
bad,2,rent,60,28,married,no_rec,fixed,74,138,0,0,1400,1400,100,3,173
good,20,owner,24,47,married,no_rec,freelance,75,300,5000,0,600,832,72,9,174
good,9,owner,36,29,single,no_rec,fixed,35,147,3500,0,1886,2886,65,2,175
bad,0,rent,60,48,separated,yes_rec,freelance,35,348,25300,15500,1200,1257,95,8,176
good,18,parents,60,34,married,no_rec,fixed,60,112,6550,0,600,1346,45,5,177
good,20,owner,60,53,married,yes_rec,freelance,75,350,6500,0,800,1138,70,21,178
good,6,owner,12,44,married,no_rec,fixed,45,110,15000,0,300,1801,17,3,179
bad,0,owner,48,49,married,no_rec,partime,45,75,2000,0,900,1200,75,2,180
good,0,rent,36,51,married,no_rec,fixed,113,230,0,0,950,950,100,4,181
good,14,ignore,60,34,married,no_rec,fixed,75,85,8000,0,1400,1589,88,0,182
good,10,owner,48,42,married,no_rec,freelance,75,210,4000,120,1200,1617,74,5,183
good,19,owner,60,34,married,no_rec,fixed,75,125,5000,0,1200,1200,100,2,184
good,11,owner,60,46,married,no_rec,fixed,75,149,3500,0,1400,2194,64,3,185
good,1,owner,48,31,married,no_rec,fixed,75,201,2500,96,1100,1642,67,5,186
bad,13,other,60,31,married,no_rec,fixed,60,105,0,0,1200,1423,84,2,187
good,4,rent,12,33,married,no_rec,fixed,78,183,0,0,600,1600,38,2,188
bad,9,rent,24,30,single,yes_rec,fixed,46,113,0,0,700,700,100,2,189
good,1,owner,24,27,married,no_rec,fixed,45,126,3000,3700,200,300,67,5,190
good,4,owner,36,48,married,no_rec,freelance,120,300,5000,0,1000,1165,86,6,191
good,2,owner,60,33,married,no_rec,fixed,75,160,6000,0,1000,1365,73,5,192
good,2,owner,12,44,married,no_rec,fixed,90,160,7500,0,500,1706,29,2,193
bad,0,other,36,48,married,yes_rec,freelance,45,89,0,0,1600,2053,78,1,194
good,21,owner,60,57,married,no_rec,freelance,60,95,8000,0,1000,1700,59,2,195
good,12,owner,60,34,married,yes_rec,fixed,75,125,5500,4000,950,1462,65,1,196
good,9,rent,60,38,married,no_rec,fixed,87,120,0,0,1177,1300,91,2,197
good,2,rent,36,35,married,no_rec,fixed,126,359,0,0,870,1122,78,10,198
good,24,owner,60,52,married,no_rec,fixed,45,80,4000,0,1200,1257,95,2,199
good,1,parents,60,28,single,no_rec,partime,35,67,0,0,1050,1387,76,2,200
good,15,owner,48,46,married,no_rec,fixed,90,148,12000,0,1000,1266,79,3,201
good,19,owner,60,56,married,yes_rec,fixed,45,298,8000,0,1700,2195,77,9,202
good,10,owner,24,52,married,no_rec,fixed,75,318,4500,700,700,2004,35,8,203
good,19,owner,60,35,married,no_rec,fixed,75,185,4000,0,1100,1203,91,6,204
good,10,owner,36,45,married,yes_rec,freelance,60,39,9500,250,750,1138,66,-1,205
good,4,parents,48,29,married,no_rec,fixed,45,194,0,0,1200,1374,87,6,206
bad,1,parents,60,22,single,no_rec,fixed,35,80,3000,0,1500,1514,99,2,207
good,2,owner,24,33,married,yes_rec,fixed,75,147,2000,900,400,750,53,4,208
good,5,owner,24,41,married,no_rec,freelance,105,156,10000,0,800,1894,42,2,209
good,11,owner,36,37,married,no_rec,fixed,75,178,3000,0,1000,1048,95,4,210
good,23,owner,24,46,married,no_rec,fixed,75,130,4000,0,400,1369,29,3,211
bad,4,other,36,19,single,no_rec,partime,35,63,0,0,1000,1035,97,1,212
bad,5,parents,36,22,single,no_rec,fixed,35,88,0,0,750,1218,62,3,213
good,15,parents,60,31,married,no_rec,fixed,45,140,0,0,1200,1637,73,5,214
bad,1,priv,60,44,married,no_rec,partime,45,115,2000,0,750,953,79,6,215
good,9,owner,60,48,married,yes_rec,fixed,60,83,2500,0,1100,1212,91,1,216
good,4,priv,36,31,married,no_rec,fixed,60,144,3000,0,1000,1218,82,3,217
good,20,owner,24,53,married,no_rec,freelance,45,200,100000,0,1000,1419,70,4,218
good,10,other,60,36,married,no_rec,fixed,90,172,3000,0,1100,1100,100,4,219
good,2,priv,60,46,married,no_rec,freelance,105,200,4000,500,900,987,91,6,220
good,15,owner,60,37,married,no_rec,fixed,60,318,7000,0,1900,2400,79,8,221
good,8,owner,60,34,married,no_rec,fixed,60,177,6300,4000,1370,1375,100,3,222
good,4,owner,48,36,married,no_rec,fixed,60,133,4000,0,1000,1595,63,4,223
good,4,owner,60,64,single,no_rec,others,35,150,9000,0,984,1054,93,7,224
good,1,owner,36,27,single,no_rec,fixed,35,208,9000,0,1000,1651,61,6,225
good,10,owner,30,26,married,no_rec,fixed,75,145,1434,0,300,1542,19,7,226
good,32,owner,60,53,married,no_rec,fixed,60,157,5000,0,2000,2014,99,3,227
good,12,owner,60,50,married,no_rec,fixed,45,190,9500,200,1800,2624,69,5,228
bad,0,parents,60,21,single,no_rec,partime,35,86,0,0,1000,1135,88,3,229
good,20,parents,24,40,single,no_rec,fixed,35,90,0,0,600,1105,54,2,230
good,6,rent,60,49,married,yes_rec,partime,100,100,30000,0,1500,1500,100,0,231
bad,4,rent,24,40,married,yes_rec,fixed,56,214,0,0,800,1200,67,5,232
good,1,rent,60,37,single,no_rec,fixed,45,100,0,0,1150,1555,74,3,233
good,2,rent,48,25,married,no_rec,fixed,57,117,0,0,800,2251,36,4,234
good,25,owner,18,40,married,no_rec,fixed,45,110,4000,0,455,1542,30,3,235
good,1,rent,36,22,married,no_rec,fixed,62,168,0,0,1200,2186,55,3,236
good,10,owner,48,49,married,no_rec,freelance,45,150,9000,0,1700,1700,100,3,237
good,2,owner,60,34,married,no_rec,fixed,45,166,7000,0,600,1180,51,12,238
bad,13,rent,24,49,married,no_rec,freelance,90,283,0,0,700,800,88,7,239
bad,10,rent,60,43,married,no_rec,freelance,90,149,0,0,1350,1668,81,3,240
good,20,owner,36,42,married,no_rec,freelance,90,250,4500,0,1500,1750,86,4,241
good,10,owner,48,28,married,yes_rec,partime,60,120,2500,1500,600,875,69,4,242
good,1,owner,60,30,married,no_rec,freelance,35,236,3500,1000,1000,1514,66,11,243
bad,1,owner,60,25,separated,yes_rec,partime,45,277,6000,3500,1700,1950,87,7,244
bad,0,parents,60,22,single,no_rec,partime,35,55,0,0,950,1462,65,1,245
good,5,parents,36,27,single,no_rec,fixed,35,200,4000,0,600,1098,55,10,246
good,3,parents,60,26,single,no_rec,fixed,45,235,0,0,800,840,95,14,247
bad,0,owner,48,28,married,no_rec,fixed,45,80,1500,0,1260,1634,77,1,248
good,6,owner,48,35,married,no_rec,freelance,45,200,7000,0,1540,1603,96,5,249
good,21,priv,60,51,married,no_rec,fixed,45,140,3000,0,1200,1200,100,5,250
good,5,rent,60,24,married,no_rec,fixed,73,125,0,0,700,1360,51,4,251
good,12,rent,60,34,married,no_rec,fixed,94,185,0,0,1200,1236,97,5,252
good,13,owner,42,34,married,no_rec,fixed,105,190,2500,300,1100,1395,79,3,253
good,10,owner,60,49,married,no_rec,freelance,60,150,23000,0,1200,1390,86,4,254
good,6,owner,60,28,married,no_rec,fixed,60,102,5000,0,700,1355,52,4,255
good,18,rent,60,57,married,no_rec,fixed,77,170,4000,0,1300,1604,81,4,256
good,15,owner,60,63,married,no_rec,fixed,60,315,3500,266,1000,1241,81,15,257
bad,0,rent,12,37,married,no_rec,others,88,130,0,0,250,375,67,2,258
good,2,owner,36,27,married,no_rec,fixed,45,156,6000,0,700,1045,67,6,259
good,18,rent,60,39,married,no_rec,fixed,93,177,0,0,800,1781,45,6,260
good,12,owner,36,64,single,yes_rec,freelance,60,341,4500,0,900,900,100,11,261
good,25,owner,48,49,married,no_rec,freelance,105,240,12000,4200,1660,1698,98,3,262
good,8,owner,12,49,married,no_rec,freelance,60,142,6000,0,200,1048,19,5,263
good,20,owner,36,45,married,no_rec,freelance,75,333,5000,0,1000,2200,45,9,264
good,3,parents,60,27,single,no_rec,fixed,35,125,5000,0,770,1119,69,7,265
good,2,parents,36,30,married,no_rec,fixed,45,170,0,0,700,1090,64,6,266
bad,2,owner,36,33,married,no_rec,freelance,75,220,16000,500,3000,4100,73,2,267
good,15,owner,36,40,married,no_rec,fixed,60,230,8500,480,700,1400,50,8,268
good,3,owner,60,30,separated,no_rec,fixed,60,157,15000,0,1000,2010,50,6,269
good,4,parents,12,30,married,no_rec,fixed,60,340,16000,0,1900,2014,94,2,270
good,3,owner,60,25,married,no_rec,partime,60,120,3500,200,1000,1342,75,3,271
good,9,rent,60,40,single,no_rec,fixed,44,91,0,0,1000,1132,88,3,272
bad,4,priv,42,50,married,no_rec,freelance,60,150,7000,0,900,1048,86,4,273
good,2,owner,36,23,single,no_rec,fixed,35,88,5500,0,750,1218,62,3,274
good,1,other,48,28,single,no_rec,partime,35,120,0,0,900,1114,81,5,275
bad,2,rent,60,35,married,yes_rec,freelance,75,70,0,0,1000,1206,83,-0,276
good,2,rent,60,27,married,no_rec,fixed,56,106,0,0,650,2132,30,5,277
good,2,parents,36,19,married,no_rec,fixed,35,162,4000,100,400,570,70,11,278
good,3,parents,60,39,married,no_rec,fixed,45,77,0,0,1000,1094,91,2,279
good,8,priv,36,39,married,no_rec,fixed,75,128,2500,0,550,550,100,3,280
good,10,owner,48,55,widow,no_rec,fixed,35,189,9000,0,1200,1255,96,6,281
good,10,owner,36,32,married,no_rec,freelance,60,300,40000,3000,2000,4138,48,4,282
good,5,owner,60,54,married,no_rec,freelance,60,92,6000,1700,1700,1714,99,1,283
good,20,owner,48,58,married,no_rec,freelance,60,380,35000,0,1100,1150,96,14,284
good,5,owner,24,37,married,no_rec,freelance,75,500,14000,0,1500,2673,56,7,285
good,20,parents,60,36,married,no_rec,freelance,60,130,0,0,1200,1630,74,4,286
good,12,owner,60,28,married,no_rec,fixed,45,141,6000,400,1100,1544,71,5,287
good,13,owner,60,38,married,no_rec,fixed,75,220,6500,3600,1000,1195,84,7,288
good,11,owner,36,26,married,no_rec,fixed,60,146,5000,1300,400,1206,33,7,289
good,17,owner,60,41,married,no_rec,freelance,75,250,13500,3700,1400,2050,68,6,290
good,6,owner,36,42,married,no_rec,fixed,60,132,6000,0,1200,1513,79,2,291
good,22,owner,6,46,married,no_rec,freelance,90,150,75000,0,3000,3300,91,0,292
good,25,rent,60,52,married,no_rec,fixed,73,127,0,0,1030,1250,82,3,293
bad,8,owner,60,30,married,no_rec,partime,60,90,3000,500,1000,1339,75,2,294
bad,19,owner,60,47,married,yes_rec,freelance,90,166,12500,1000,875,875,100,5,295
good,3,owner,18,66,married,no_rec,others,45,69,12000,0,500,1101,45,1,296
good,35,owner,60,54,married,no_rec,fixed,45,182,4000,0,1000,1568,64,8,297
good,0,owner,42,65,married,no_rec,others,45,77,4000,2000,750,1194,63,1,298
bad,7,other,60,25,married,no_rec,fixed,45,50,0,0,950,1378,69,0,299
good,3,owner,60,31,single,no_rec,fixed,35,131,4000,0,1050,1139,92,5,300
good,1,parents,24,23,single,no_rec,fixed,35,62,0,0,350,350,100,2,301
bad,5,owner,60,35,married,no_rec,fixed,75,60,3000,400,1150,1406,82,-1,302
good,2,owner,60,47,married,no_rec,fixed,90,86,4500,0,1200,1497,80,-0,303
bad,13,rent,36,28,married,no_rec,fixed,59,143,0,0,1400,1600,88,2,304
bad,27,rent,60,50,married,yes_rec,fixed,87,120,0,0,1300,1350,96,2,305
bad,3,other,60,25,single,no_rec,fixed,35,283,0,0,2000,2032,98,7,306
good,0,owner,36,39,married,no_rec,fixed,60,138,3000,0,1400,2610,54,2,307
good,1,priv,12,46,married,no_rec,others,90,90,2000,600,500,1193,42,-0,308
bad,1,rent,60,36,married,yes_rec,fixed,85,99,0,0,1200,1275,94,1,309
bad,10,owner,36,39,married,yes_rec,freelance,75,160,15000,0,3250,3750,87,1,310
good,1,owner,60,25,married,no_rec,partime,60,330,9000,3500,1300,2500,52,11,311
good,6,owner,36,49,married,no_rec,freelance,60,100,22000,0,1000,1790,56,1,312
bad,3,rent,48,52,married,no_rec,fixed,96,210,0,0,1400,1419,99,4,313
good,10,rent,30,34,separated,no_rec,fixed,45,100,0,0,700,1480,47,2,314
good,0,owner,36,24,single,no_rec,partime,45,97,8000,0,600,1542,39,3,315
bad,1,rent,60,38,married,no_rec,freelance,45,65,0,0,1500,1850,81,1,316
good,6,owner,48,24,married,no_rec,fixed,45,227,3000,0,600,1380,43,15,317
good,5,owner,42,33,married,yes_rec,fixed,45,140,22000,2500,1200,1888,64,2,318
bad,1,rent,48,31,married,no_rec,fixed,87,115,0,0,1100,1672,66,1,319
good,37,owner,48,63,married,no_rec,fixed,60,150,3500,0,700,808,87,6,320
bad,1,parents,60,23,single,no_rec,fixed,35,90,0,0,1100,1107,99,3,321
good,40,owner,42,61,married,no_rec,fixed,90,275,12000,0,1000,1335,75,8,322
good,5,parents,60,28,single,no_rec,fixed,35,176,0,0,1190,1390,86,7,323
good,11,rent,60,58,married,no_rec,fixed,71,110,3000,0,1150,1363,84,2,324
good,23,owner,60,41,married,no_rec,fixed,75,140,3000,0,1450,1482,98,3,325
good,23,owner,60,38,married,no_rec,fixed,45,500,3500,0,1900,2357,81,14,326
bad,5,owner,60,27,married,no_rec,fixed,75,66,3000,0,600,850,71,-1,327
