status,seniority,home,time,age,marital,records,job,expenses,income,assets,debt,amount,price,finrat,savings,id
good,6,owner,24,62,married,no_rec,fixed,60,148,4018,0,629,1097,58,4,50
good,14,owner,23,55,married,no_rec,fixed,90,749,4861,0,775,1360,59,19,51
good,8,rent,50,32,married,no_rec,fixed,94,142,0,0,1072,1479,78,3,52
good,22,owner,24,42,married,no_rec,fixed,77,183,2920,0,1020,1456,67,3,53
good,2,owner,38,37,married,no_rec,fixed,76,156,2947,0,995,1471,63,3,54
good,16,priv,59,44,married,no_rec,fixed,77,123,2865,0,1313,1372,100,2,55
good,10,owner,19,35,married,no_rec,freelance,71,176,4136,0,587,1027,62,3,56
good,4,owner,58,36,married,no_rec,fixed,57,190,2854,0,1228,1601,81,6,57
good,9,owner,60,51,married,no_rec,fixed,46,178,2564,0,835,1257,68,9,58
good,22,rent,58,44,married,no_rec,fixed,93,167,7259,0,2095,2124,89,2,59
good,18,parents,34,37,married,no_rec,freelance,58,237,0,0,896,2291,40,7,60
good,1,priv,63,47,married,no_rec,fixed,62,111,5435,788,989,1178,87,3,61
good,15,owner,48,43,married,no_rec,fixed,43,195,9096,0,602,994,56,11,62
good,8,owner,35,30,married,yes_rec,freelance,77,402,9273,4085,770,1546,48,12,63
good,5,owner,24,42,married,no_rec,fixed,79,92,2858,0,699,1702,41,1,64
good,19,rent,59,40,married,no_rec,fixed,86,111,0,0,1047,1136,85,1,65
good,0,other,36,44,married,yes_rec,others,46,45,0,0,862,1068,82,0,66
good,9,rent,37,52,married,no_rec,fixed,74,239,30428,0,1667,2312,78,4,67
good,28,owner,49,54,married,no_rec,fixed,45,96,3040,0,945,1295,63,3,68
good,10,owner,37,57,married,no_rec,fixed,58,71,4114,0,971,1408,71,0,69
good,10,parents,35,52,married,no_rec,fixed,61,151,0,0,543,590,90,6,70
bad,1,owner,37,30,married,no_rec,fixed,57,68,4607,0,874,1078,81,0,71
good,10,owner,57,41,divorced,yes_rec,fixed,35,252,2559,0,971,1340,75,15,72
good,10,owner,58,39,married,no_rec,freelance,71,199,9121,0,968,2001,49,8,73
good,5,owner,23,25,single,no_rec,fixed,35,76,5950,2978,494,2372,23,1,74
good,10,rent,63,29,single,no_rec,fixed,45,117,0,0,608,1035,57,7,75
good,26,owner,57,52,married,no_rec,fixed,60,124,10121,0,1371,1405,99,3,76
bad,0,rent,61,26,single,no_rec,partime,42,50,0,0,999,1045,95,1,77
bad,25,rent,63,60,married,no_rec,fixed,62,153,0,0,1025,1331,76,5,78
bad,9,parents,58,32,single,yes_rec,fixed,34,105,0,0,1464,1496,103,3,79
good,4,rent,36,21,married,no_rec,freelance,100,397,5811,0,712,820,85,15,80
good,6,rent,35,39,married,no_rec,freelance,92,487,24577,21296,827,995,77,9,81
good,9,rent,48,54,married,no_rec,freelance,137,346,0,0,1458,1534,87,7,82
good,3,owner,37,42,married,no_rec,freelance,71,199,3080,0,950,1007,102,4,83
bad,23,other,34,46,married,no_rec,fixed,43,134,0,0,261,276,97,13,84
good,3,owner,59,51,widow,no_rec,others,36,78,4191,0,922,1392,72,3,85
good,31,owner,34,54,married,no_rec,freelance,118,214,14317,0,1574,1657,90,2,86
good,8,rent,59,53,married,no_rec,fixed,86,132,4155,0,806,1124,75,4,87
good,40,owner,47,57,married,no_rec,freelance,43,61,12341,0,1526,3390,45,0,88
good,2,rent,57,31,married,no_rec,fixed,77,127,0,0,1049,1530,70,3,89
good,4,owner,62,33,married,no_rec,fixed,77,129,6298,1041,582,987,61,4,90
bad,2,other,49,23,single,no_rec,fixed,37,147,0,0,1924,2157,90,3,91
bad,1,rent,34,25,married,no_rec,partime,72,170,0,0,866,921,100,4,92
bad,6,parents,58,29,married,no_rec,freelance,90,316,7023,0,1148,1153,104,13,93
good,5,owner,59,28,married,no_rec,fixed,46,130,4838,1397,1609,1635,101,3,94
bad,12,parents,35,35,single,no_rec,fixed,35,109,0,0,352,355,95,8,95
good,10,rent,62,33,married,no_rec,fixed,80,188,0,0,975,1166,89,7,96
good,10,owner,24,38,married,no_rec,fixed,47,210,9251,3143,1498,2437,62,2,97
bad,20,owner,63,50,married,no_rec,freelance,92,288,12573,2430,1394,1672,74,8,98
bad,0,owner,36,37,single,no_rec,freelance,36,76,4040,0,990,1163,85,2,99
good,13,owner,48,30,married,no_rec,fixed,61,266,2878,0,656,990,69,15,100
bad,2,owner,34,34,married,no_rec,fixed,71,96,1473,396,1216,1627,75,1,101
good,20,owner,25,68,married,no_rec,fixed,43,136,10180,0,972,1321,67,2,102
good,3,priv,49,41,separated,no_rec,freelance,34,259,4047,1533,674,830,80,13,103
good,26,owner,63,48,married,no_rec,fixed,71,132,5372,963,622,1352,43,5,104
good,4,rent,61,25,married,no_rec,fixed,59,117,0,0,855,1406,70,4,105
bad,1,owner,61,28,married,no_rec,partime,71,164,4011,2949,1824,2021,89,2,106
good,19,rent,61,54,married,no_rec,fixed,63,225,0,0,1278,1282,100,7,107
good,12,rent,60,42,married,no_rec,fixed,112,381,0,0,1050,1113,96,14,108
good,11,owner,59,51,married,no_rec,fixed,73,203,11589,0,1587,1501,96,5,109
good,0,parents,24,21,single,no_rec,partime,35,86,0,0,637,1024,65,2,110
good,10,other,18,47,married,no_rec,fixed,88,210,0,0,1049,1540,62,2,111
bad,10,other,63,27,married,no_rec,fixed,47,60,0,0,1397,1518,90,1,112
good,8,owner,57,28,married,no_rec,fixed,77,179,4157,0,1323,1703,73,5,113
good,20,owner,32,59,married,no_rec,freelance,62,308,25060,9396,616,811,70,8,114
good,0,rent,61,31,married,no_rec,freelance,65,196,0,0,722,830,92,11,115
good,17,parents,62,39,married,no_rec,fixed,71,252,0,0,1284,1454,90,8,116
good,4,owner,59,30,married,no_rec,partime,60,148,5004,2541,885,1153,84,5,117
good,0,owner,59,31,married,no_rec,fixed,57,100,3550,0,1134,1206,96,2,118
good,15,owner,11,48,married,no_rec,freelance,47,172,1907,0,513,882,55,3,119
bad,13,rent,61,41,separated,yes_rec,fixed,48,117,0,0,818,1374,55,5,120
good,18,owner,38,33,married,no_rec,fixed,57,113,6387,2097,1014,2118,47,1,121
good,40,owner,36,60,married,no_rec,freelance,75,207,49820,0,989,1180,90,5,122
good,9,rent,60,38,married,no_rec,fixed,116,444,5830,1937,925,1199,73,19,123
bad,13,parents,60,29,separated,yes_rec,fixed,37,105,0,0,1281,1355,96,3,124
bad,0,owner,38,36,married,yes_rec,fixed,106,121,5445,1916,852,880,101,0,125
good,14,owner,60,62,married,no_rec,freelance,57,259,10104,0,681,1223,55,15,126
good,10,parents,25,29,single,no_rec,freelance,36,89,0,0,623,1604,40,2,127
good,2,owner,48,34,married,no_rec,fixed,44,160,6216,0,1210,1277,87,5,128
good,16,owner,17,34,married,no_rec,freelance,62,308,4115,0,286,590,50,14,129
bad,1,parents,47,28,single,no_rec,fixed,36,84,0,0,976,1320,80,2,130
good,27,owner,58,61,married,no_rec,freelance,44,208,10498,0,1130,1244,85,8,131
bad,0,other,58,24,married,no_rec,partime,61,60,0,0,1289,1359,93,0,132
good,3,owner,24,30,married,no_rec,freelance,77,126,11923,879,1474,5148,28,1,133
good,8,rent,38,35,married,no_rec,fixed,81,183,0,0,869,1441,62,4,134
good,3,owner,46,25,single,no_rec,freelance,34,71,3854,0,1193,1446,81,1,135
good,5,other,62,22,single,no_rec,fixed,44,204,0,0,683,1403,49,14,136
good,4,owner,31,47,married,no_rec,freelance,89,210,14888,0,1602,1568,100,2,137
good,14,priv,48,36,married,no_rec,fixed,72,153,3490,204,1080,1276,86,3,138
good,3,owner,36,36,single,yes_rec,freelance,37,376,16673,0,1512,2348,65,9,139
good,22,rent,34,60,married,no_rec,fixed,58,155,0,0,196,268,71,15,140
good,19,rent,50,62,married,no_rec,fixed,56,114,0,0,783,1241,65,4,141
bad,6,owner,48,61,married,yes_rec,freelance,58,400,87436,0,905,923,98,18,142
good,24,owner,11,39,married,no_rec,fixed,45,168,4750,0,860,1716,55,2,143
good,8,rent,50,26,single,no_rec,fixed,42,73,0,0,612,1275,48,3,144
good,5,owner,63,40,married,no_rec,fixed,76,86,4942,0,1242,1587,78,1,145
good,11,rent,60,28,married,no_rec,fixed,79,168,0,0,1330,1557,85,4,146
good,26,parents,52,43,married,no_rec,fixed,77,112,7294,0,1320,1301,97,1,147
bad,2,rent,58,28,married,no_rec,fixed,78,134,0,0,1432,1440,100,3,148
good,21,owner,23,48,married,no_rec,freelance,74,311,5054,0,601,838,74,9,149
good,9,owner,34,28,single,no_rec,fixed,37,148,3559,0,1793,2776,66,2,150
bad,0,rent,59,48,separated,yes_rec,freelance,34,340,24291,14734,1220,1219,92,8,151
good,18,parents,60,32,married,no_rec,fixed,59,107,6271,0,611,1349,43,5,152
good,21,owner,61,55,married,yes_rec,freelance,73,343,6562,0,825,1104,72,21,153
good,6,owner,11,44,married,no_rec,fixed,47,106,15695,0,297,1824,17,3,154
bad,0,owner,46,50,married,no_rec,partime,46,78,2080,0,940,1173,79,2,155
good,0,rent,37,48,married,no_rec,fixed,115,242,0,0,976,944,104,4,156
good,14,ignore,60,32,married,no_rec,fixed,71,82,7856,0,1357,1519,84,0,157
good,20,owner,60,34,married,no_rec,fixed,71,128,5111,0,1184,1184,103,2,158
good,12,owner,57,48,married,no_rec,fixed,74,150,3436,0,1406,2286,67,3,159
good,1,owner,49,33,married,no_rec,fixed,72,208,2506,99,1120,1607,69,5,160
bad,14,other,62,33,married,no_rec,fixed,59,107,0,0,1143,1424,85,2,161
good,4,rent,12,34,married,no_rec,fixed,78,178,0,0,573,1560,37,2,162
good,1,owner,24,26,married,no_rec,fixed,44,132,3148,3730,197,297,69,5,163
good,4,owner,34,49,married,no_rec,freelance,120,301,4841,0,958,1108,82,6,164
good,2,owner,12,44,married,no_rec,fixed,88,158,7397,0,492,1743,30,2,165
good,21,owner,63,57,married,no_rec,freelance,60,91,7928,0,973,1718,60,2,166
good,13,owner,61,35,married,yes_rec,fixed,79,123,5623,3905,985,1507,68,1,167
good,2,rent,35,34,married,no_rec,fixed,123,362,0,0,853,1121,80,10,168
good,23,owner,58,49,married,no_rec,fixed,45,84,3870,0,1200,1216,97,2,169
good,15,owner,47,44,married,no_rec,fixed,94,146,12515,0,952,1259,77,3,170
good,19,owner,58,53,married,yes_rec,fixed,43,313,7931,0,1684,2246,76,9,171
good,10,owner,25,54,married,no_rec,fixed,71,324,4548,682,711,1985,37,8,172
good,18,owner,60,36,married,no_rec,fixed,71,176,3984,0,1140,1227,91,6,173
good,10,owner,36,45,married,yes_rec,freelance,57,37,9427,258,753,1163,65,-1,174
good,4,parents,50,28,married,no_rec,fixed,44,190,0,0,1252,1312,90,6,175
bad,1,parents,59,23,single,no_rec,fixed,37,79,2908,0,1431,1446,95,2,176
good,2,owner,25,32,married,yes_rec,fixed,71,153,1929,870,396,760,55,4,177
good,5,owner,25,43,married,no_rec,freelance,110,162,9587,0,826,1956,44,2,178
good,23,owner,23,46,married,no_rec,fixed,77,136,4175,0,418,1330,28,3,179
bad,5,parents,38,22,single,no_rec,fixed,36,87,0,0,728,1209,65,3,180
good,16,parents,59,32,married,no_rec,fixed,46,138,0,0,1198,1603,72,5,181
bad,1,priv,57,43,married,no_rec,partime,45,119,1938,0,722,906,75,6,182
good,9,owner,58,49,married,yes_rec,fixed,61,80,2498,0,1088,1272,93,1,183
good,10,other,62,37,married,no_rec,fixed,90,166,2949,0,1077,1082,96,4,184
good,8,owner,60,34,married,no_rec,fixed,57,168,6441,4137,1303,1368,96,3,185
good,4,owner,49,36,married,no_rec,fixed,63,130,4011,0,975,1527,62,4,186
good,4,owner,62,62,single,no_rec,others,36,150,8667,0,975,1021,92,7,187
good,10,owner,31,26,married,no_rec,fixed,76,151,1481,0,306,1501,18,7,188
good,30,owner,59,52,married,no_rec,fixed,59,163,4861,0,1979,2092,96,3,189
good,12,owner,62,50,married,no_rec,fixed,45,194,9536,197,1881,2583,72,5,190
bad,0,parents,63,21,single,no_rec,partime,35,89,0,0,967,1088,86,3,191
good,20,parents,23,39,single,no_rec,fixed,37,94,0,0,601,1058,54,2,192
good,6,rent,59,51,married,yes_rec,partime,99,95,28621,0,1545,1520,102,0,193
bad,4,rent,24,42,married,yes_rec,fixed,56,213,0,0,837,1144,64,5,194
good,1,rent,63,37,single,no_rec,fixed,47,105,0,0,1165,1501,72,3,195
good,2,rent,46,26,married,no_rec,fixed,57,116,0,0,831,2325,37,4,196
good,26,owner,19,42,married,no_rec,fixed,47,105,3962,0,471,1489,30,3,197
good,1,rent,37,21,married,no_rec,fixed,62,174,0,0,1162,2257,53,3,198
good,10,owner,46,50,married,no_rec,freelance,44,153,8615,0,1767,1647,97,3,199
good,2,owner,63,33,married,no_rec,fixed,46,158,6855,0,577,1153,54,11,200
bad,14,rent,23,48,married,no_rec,freelance,93,286,0,0,721,780,85,7,201
bad,10,rent,63,42,married,no_rec,freelance,90,145,0,0,1378,1647,81,3,202
good,20,owner,34,42,married,no_rec,freelance,86,251,4442,0,1474,1823,85,4,203
good,10,owner,46,28,married,yes_rec,partime,58,117,2431,1519,612,874,67,4,204
good,1,owner,57,29,married,no_rec,freelance,36,244,3385,1016,1000,1477,64,10,205
bad,1,owner,58,24,separated,yes_rec,partime,46,287,6270,3376,1752,1863,86,7,206
bad,0,parents,60,21,single,no_rec,partime,33,55,0,0,940,1409,65,1,207
good,5,parents,34,26,single,no_rec,fixed,35,194,3925,0,574,1140,55,10,208
good,3,parents,61,26,single,no_rec,fixed,46,239,0,0,840,849,98,14,209
good,6,owner,49,37,married,no_rec,freelance,44,209,6930,0,1463,1631,93,5,210
good,20,priv,63,48,married,no_rec,fixed,45,137,2949,0,1188,1243,101,5,211
good,5,rent,57,24,married,no_rec,fixed,70,129,0,0,729,1410,52,4,212
good,11,rent,61,34,married,no_rec,fixed,92,182,0,0,1196,1212,97,5,213
good,12,owner,44,32,married,no_rec,fixed,108,189,2575,285,1049,1337,78,3,214
good,10,owner,57,50,married,no_rec,freelance,61,154,22754,0,1190,1398,82,4,215
good,6,owner,58,27,married,no_rec,fixed,60,99,5232,0,690,1367,51,4,216
good,18,rent,61,59,married,no_rec,fixed,81,175,4194,0,1331,1670,82,4,217
bad,0,rent,13,36,married,no_rec,others,90,128,0,0,262,356,69,2,218
good,11,owner,34,62,single,yes_rec,freelance,57,332,4687,0,900,858,98,10,219
good,8,owner,12,47,married,no_rec,freelance,59,148,6093,0,192,1010,20,5,220
good,21,owner,38,44,married,no_rec,freelance,78,331,5176,0,973,2241,43,9,221
good,3,parents,59,27,single,no_rec,fixed,37,123,4809,0,792,1064,69,7,222
good,2,parents,37,31,married,no_rec,fixed,47,164,0,0,687,1051,65,6,223
bad,2,owner,38,35,married,no_rec,freelance,71,228,15810,489,2856,4247,69,2,224
good,14,owner,35,42,married,no_rec,fixed,57,234,8306,483,734,1468,50,8,225
good,3,owner,58,31,separated,no_rec,fixed,63,156,14266,0,1048,2093,48,6,226
good,3,owner,58,24,married,no_rec,partime,58,125,3435,198,1038,1299,79,3,227
good,9,rent,59,39,single,no_rec,fixed,42,90,0,0,951,1157,90,3,228
bad,4,priv,41,49,married,no_rec,freelance,57,150,6713,0,898,1002,90,4,229
good,2,rent,60,28,married,no_rec,fixed,59,102,0,0,635,2130,32,5,230
good,2,parents,36,18,married,no_rec,fixed,37,168,4008,95,395,572,72,11,231
good,3,parents,58,37,married,no_rec,fixed,44,73,0,0,1048,1072,91,2,232
good,10,owner,47,53,widow,no_rec,fixed,36,189,9293,0,1173,1284,96,6,233
good,10,owner,37,30,married,no_rec,freelance,63,315,40979,2989,1988,4218,49,4,234
good,5,owner,59,51,married,no_rec,freelance,58,92,5917,1699,1744,1663,101,1,235
good,5,owner,23,39,married,no_rec,freelance,74,502,13814,0,1448,2719,54,7,236
good,19,parents,57,38,married,no_rec,freelance,61,129,0,0,1218,1570,71,4,237
good,12,owner,57,27,married,no_rec,fixed,47,138,5794,415,1138,1499,75,5,238
good,13,owner,63,36,married,no_rec,fixed,76,230,6434,3528,1027,1207,85,7,239
good,11,owner,38,26,married,no_rec,fixed,63,143,4982,1259,393,1232,32,7,240
good,18,owner,58,43,married,no_rec,freelance,78,254,13297,3547,1440,2141,69,6,241
good,22,owner,6,45,married,no_rec,freelance,89,143,72078,0,2898,3226,87,0,242
good,24,rent,59,55,married,no_rec,fixed,75,132,0,0,1062,1210,85,3,243
bad,8,owner,62,28,married,no_rec,partime,59,86,2939,508,984,1304,77,2,244
bad,19,owner,57,46,married,yes_rec,freelance,87,159,12661,972,882,864,95,5,245
good,3,owner,18,67,married,no_rec,others,47,72,12166,0,481,1106,45,1,246
good,0,owner,43,62,married,no_rec,others,43,74,4046,2001,734,1216,61,1,247
good,3,owner,61,32,single,no_rec,fixed,37,129,4159,0,1020,1146,89,5,248
good,1,parents,24,24,single,no_rec,fixed,34,64,0,0,363,349,105,2,249
bad,5,owner,57,34,married,no_rec,fixed,72,57,3081,397,1102,1463,78,-1,250
good,2,owner,59,48,married,no_rec,fixed,89,88,4559,0,1235,1545,80,0,251
bad,12,rent,36,27,married,no_rec,fixed,62,147,0,0,1422,1642,84,2,252
bad,27,rent,57,50,married,yes_rec,fixed,86,124,0,0,1331,1357,93,2,253
bad,3,other,57,24,single,no_rec,fixed,33,294,0,0,1979,1989,102,7,254
good,0,owner,38,38,married,no_rec,fixed,58,138,2850,0,1358,2673,57,2,255
good,1,priv,12,45,married,no_rec,others,90,91,2044,607,489,1242,43,0,256
bad,1,rent,59,35,married,yes_rec,fixed,81,104,0,0,1168,1313,90,1,257
bad,10,owner,35,41,married,yes_rec,freelance,72,164,14792,0,3348,3828,87,1,258
good,6,owner,35,47,married,no_rec,freelance,63,105,22624,0,1050,1857,57,1,259
bad,3,rent,47,52,married,no_rec,fixed,98,200,0,0,1448,1359,102,4,260
good,10,rent,31,32,separated,no_rec,fixed,45,98,0,0,722,1427,47,2,261
good,0,owner,34,24,single,no_rec,partime,43,97,7967,0,578,1581,37,3,262
bad,1,rent,61,36,married,no_rec,freelance,44,65,0,0,1509,1882,82,1,263
good,6,owner,47,23,married,no_rec,fixed,44,217,2870,0,629,1407,45,14,264
bad,1,rent,49,33,married,no_rec,fixed,83,114,0,0,1093,1711,64,1,265
good,39,owner,49,61,married,no_rec,fixed,57,143,3337,0,735,820,89,6,266
good,42,owner,42,61,married,no_rec,fixed,91,287,12170,0,957,1314,76,8,267
good,10,rent,59,56,married,no_rec,fixed,68,111,3002,0,1203,1411,84,2,268
good,23,owner,58,42,married,no_rec,fixed,76,133,3062,0,1386,1487,100,3,269
good,24,owner,61,40,married,no_rec,fixed,47,477,3431,0,1958,2296,79,15,270
bad,5,owner,63,27,married,no_rec,fixed,74,68,2969,0,625,844,72,-1,271
good,10,owner,57,53,married,no_rec,freelance,58,270,9775,0,972,1212,87,13,272
good,5,owner,49,40,married,no_rec,freelance,75,139,5928,0,799,1662,54,4,273
good,33,owner,62,60,married,no_rec,fixed,62,70,6600,0,1109,1162,102,0,274
bad,4,owner,59,48,married,no_rec,freelance,73,228,13364,0,1982,2042,91,5,275
bad,10,owner,60,38,married,yes_rec,fixed,89,82,3001,1695,1072,1047,95,-2,276
good,8,other,59,29,married,no_rec,fixed,46,204,0,0,674,1524,48,13,277
good,2,owner,38,47,married,yes_rec,freelance,76,148,14510,0,853,1243,68,3,278
good,3,priv,48,40,married,no_rec,freelance,90,189,2460,774,1535,1554,98,3,279
good,3,owner,49,39,widow,no_rec,fixed,45,154,6082,3104,994,1566,63,4,280
good,26,owner,63,42,married,no_rec,fixed,60,131,9840,0,1552,1550,90,3,281
good,8,rent,60,53,married,no_rec,freelance,181,240,4825,0,1115,1566,71,3,282
good,2,owner,61,32,married,no_rec,fixed,60,157,3075,0,1006,1692,61,6,283
good,2,owner,32,27,married,no_rec,fixed,63,48,3619,252,586,1312,46,-1,284
bad,4,parents,47,39,married,no_rec,freelance,89,20,0,0,1772,2227,83,-2,285
bad,0,owner,13,58,married,no_rec,others,60,38,3917,0,170,1414,12,-1,286
bad,2,rent,24,61,married,no_rec,fixed,110,51,0,0,196,423,46,-7,287
good,2,owner,48,47,married,no_rec,fixed,43,127,4108,0,525,1572,33,8,288
good,32,rent,60,49,married,no_rec,freelance,66,103,14548,0,1259,1515,77,1,289
good,12,owner,59,35,married,no_rec,fixed,57,115,3918,71,1244,1316,97,3,290
bad,5,ignore,61,25,married,no_rec,fixed,72,161,1029,0,914,948,93,6,291
good,15,owner,58,32,married,no_rec,fixed,59,74,3820,2935,609,1149,55,-2,292
good,8,owner,50,29,married,no_rec,fixed,33,215,4073,0,1018,1219,75,9,293
bad,1,other,61,40,married,yes_rec,freelance,47,94,0,0,1672,1842,94,2,294
good,1,owner,6,29,single,no_rec,freelance,36,105,1956,0,303,1282,22,1,295
bad,6,owner,59,32,married,no_rec,fixed,76,158,2232,579,1499,1530,96,3,296
good,9,owner,57,43,married,no_rec,fixed,73,156,3047,0,1155,1394,82,4,297
good,0,owner,62,54,married,no_rec,partime,45,229,10487,0,728,1197,59,14,298
bad,3,owner,62,26,married,no_rec,partime,43,120,6069,1451,1006,1423,71,4,299
good,3,owner,62,32,married,yes_rec,freelance,74,225,2009,0,1426,2056,75,6,300
bad,0,owner,35,33,married,no_rec,partime,72,77,4288,305,628,1393,47,0,301
good,6,owner,57,27,single,no_rec,fixed,37,218,5881,3447,1463,1496,101,6,302
bad,21,owner,60,43,married,no_rec,fixed,90,110,1109,704,191,1077,20,2,303
good,17,owner,62,49,married,no_rec,fixed,63,103,3957,0,888,1072,76,3,304
good,10,owner,57,36,married,no_rec,fixed,62,145,4166,0,996,1555,60,5,305
good,2,owner,49,39,married,no_rec,fixed,78,88,7096,2051,524,1058,49,0,306
good,2,owner,57,26,married,no_rec,fixed,45,123,3606,0,290,1371,23,14,307
good,10,owner,34,32,married,no_rec,fixed,88,158,3053,242,312,521,62,8,308
good,6,owner,58,27,married,no_rec,fixed,47,117,1925,964,1302,1318,90,3,309
good,18,owner,49,43,single,no_rec,fixed,34,88,2424,0,1047,1626,59,3,310
good,3,owner,19,32,single,no_rec,partime,33,130,5189,0,1092,1728,65,2,311
good,6,owner,18,40,married,no_rec,freelance,87,45,4139,34,194,1460,13,-4,312
good,0,rent,34,27,married,no_rec,partime,69,117,995,0,596,1352,42,3,313
bad,0,owner,25,19,single,no_rec,others,61,151,1967,0,416,466,87,6,314
good,8,rent,48,23,single,no_rec,fixed,49,140,0,0,1045,1222,79,4,315
good,4,rent,48,28,married,no_rec,fixed,57,129,0,0,1204,1595,72,3,316
good,1,rent,36,34,married,no_rec,freelance,63,213,4132,0,986,1265,78,5,317
bad,1,parents,48,17,single,no_rec,partime,35,84,0,0,1123,1326,85,2,318
good,3,owner,23,36,married,no_rec,fixed,75,159,1881,0,191,946,20,10,319
good,10,rent,61,31,married,no_rec,freelance,72,306,2600,0,1042,1449,67,15,320
good,8,priv,35,38,married,no_rec,fixed,61,137,3901,1507,1361,1487,88,2,321
good,21,parents,63,38,married,no_rec,fixed,63,124,0,0,874,954,96,4,322
good,3,parents,46,28,single,no_rec,fixed,37,145,0,0,1034,1010,93,5,323
bad,1,parents,46,24,single,no_rec,fixed,36,169,0,0,1319,1370,86,5,324
good,18,owner,13,36,married,no_rec,freelance,78,435,30400,0,490,1016,51,8,325
good,2,rent,50,59,married,no_rec,others,69,231,0,0,1147,1401,86,7,326
bad,10,owner,58,37,married,yes_rec,fixed,91,253,3826,0,1700,1792,100,5,327
bad,1,owner,38,54,married,yes_rec,freelance,57,228,96818,19970,1513,2255,61,-1,328
