title,movie_id,budget,genres,homepage,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline
Rat Race,4260,48000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",NA,"[{""id"": 585, ""name"": ""casino""}, {""id"": 795, ""name"": ""running""}, {""id"": 8666, ""name"": ""preisgeld""}, {""id"": 33626, ""name"": ""millionaire""}, {""id"": 167043, ""name"": ""road movie""}]",en,Rat Race,"In an ensemble film about easy money, greed, manipulation and bad driving, a Las Vegas casino tycoon entertains his wealthiest high rollers -- a group that will bet on anything -- by pitting six ordinary people against each other in a wild dash for $2 million jammed into a locker hundreds of miles away. The tycoon and his wealthy friends monitor each racer's every move to keep track of their favorites. The only rule in this race is that there are no rules.",18.60049,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Fireworks Pictures"", ""id"": 3857}, {""name"": ""Alphaville Films"", ""id"": 11462}]","[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",30-07,85498534,112,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,563 miles. 9 people. $2 million. 1001 problems!
Bedazzled,686,48000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",NA,"[{""id"": 2038, ""name"": ""love of one's life""}, {""id"": 2870, ""name"": ""mephisto""}, {""id"": 4896, ""name"": ""wish""}, {""id"": 4957, ""name"": ""sale of soul""}, {""id"": 5810, ""name"": ""pact with the devil""}, {""id"": 188750, ""name"": ""teuflisch""}]",en,Bedazzled,"Elliot Richardson, suicidal techno geek, is given seven wishes to turn his life around when he meets up with a very seductive Satan. The catch: his soul. Some of his wishes include a 7 foot basketball star, a rock star, and a hamburger. But, as could be expected, the Devil must put her own little twist on each his fantasies.",19.348007,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""KirchMedia"", ""id"": 73949}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",19-10,90383208,93,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,Meet the Devil. She's giving Elliott seven wishes. But not a chance in Hell.
The Thomas Crown Affair,2478,48000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 10749, ""name"": ""Romance""}]",NA,"[{""id"": 159520, ""name"": ""martinique""}, {""id"": 159521, ""name"": ""claude monet""}, {""id"": 159523, ""name"": ""famous painting""}, {""id"": 159529, ""name"": ""glider""}, {""id"": 159531, ""name"": ""insurance agent""}, {""id"": 159532, ""name"": ""missing painting""}, {""id"": 159534, ""name"": ""stolen painting""}, {""id"": 159538, ""name"": ""valuable painting""}, {""id"": 159539, ""name"": ""rich people""}]",en,The Thomas Crown Affair,"A very rich and successful playboy amuses himself by stealing artwork, but may have met his match in a seductive detective.",18.102572,"[{""name"": ""Irish Dreamtime"", ""id"": 597}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",06-08,124305181,113,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,How do you get the man who has everything?
Solaris,554,0,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 9648, ""name"": ""Mystery""}]",NA,"[{""id"": 1228, ""name"": ""1970s""}, {""id"": 1565, ""name"": ""loss of sense of reality""}, {""id"": 1603, ""name"": ""extraterrestrial technology""}, {""id"": 2117, ""name"": ""subconsciousness""}, {""id"": 2808, ""name"": ""russian""}, {""id"": 3298, ""name"": ""hallucination""}, {""id"": 3801, ""name"": ""space travel""}, {""id"": 14626, ""name"": ""astronaut""}, {""id"": 157938, ""name"": ""soviet""}]",ru,Солярис,"Ground control has been receiving strange transmissions from the three remaining residents of the Solaris space station. When cosmonaut and psychologist Kris Kelvin is sent to investigate, he experiences the strange phenomena that afflict the Solaris crew, sending him on a voyage into the darkest recesses of his own consciousness. Based on the novel by the same name from Polish author Stanislaw Lem.",24.132271,"[{""name"": ""Mosfilm"", ""id"": 5120}, {""name"": ""Creative Unit of Writers & Cinema Workers"", ""id"": 77882}, {""name"": ""Unit Four"", ""id"": 77883}]","[{""iso_3166_1"": ""RU"", ""name"": ""Russia""}]",20-03,0,167,"[{""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Released,NA
America's Sweethearts,2499,0,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",NA,"[{""id"": 774, ""name"": ""film business""}, {""id"": 887, ""name"": ""film producer""}, {""id"": 1157, ""name"": ""wife husband relationship""}, {""id"": 1907, ""name"": ""fictitious marriage""}, {""id"": 2587, ""name"": ""married couple""}, {""id"": 5809, ""name"": ""marriage crisis""}]",en,America's Sweethearts,"In the midst of a nasty public breakup of married movie stars, a studio publicist scrambles to put a cap on the escalating situation as the couple's latest film has found it's only print kidnapped by the director.",10.698929,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Revolution Studios"", ""id"": 497}, {""name"": ""Roth-Arnold Productions"", ""id"": 1560}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",17-07,0,102,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Hollywood's hottest couple just split up. It'll take more than special effects to reunite them.
Liar Liar,2095,45000000,"[{""id"": 35, ""name"": ""Comedy""}]",NA,"[{""id"": 387, ""name"": ""california""}, {""id"": 1022, ""name"": ""workaholic""}, {""id"": 1421, ""name"": ""birthday""}, {""id"": 2251, ""name"": ""lie""}, {""id"": 3725, ""name"": ""pregnancy and birth""}, {""id"": 4896, ""name"": ""wish""}, {""id"": 210608, ""name"": ""1990s""}]",en,Liar Liar,"Fletcher Reede is a fast-talking attorney and habitual liar. When his son Max blows out the candles on his fifth birthday he has just one wish - that his dad will stop lying for 24 hours. When Max's wish comes true, Fletcher discovers that his mouth has suddenly become his biggest liability.",26.721386,"[{""name"": ""Imagine Entertainment"", ""id"": 23}, {""name"": ""Universal Pictures"", ""id"": 33}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",21-03,181e6,86,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Trust me.
The Flintstones,4127,46000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",NA,"[{""id"": 554, ""name"": ""manager""}, {""id"": 931, ""name"": ""jealousy""}, {""id"": 2374, ""name"": ""bad mother-in-law""}, {""id"": 2393, ""name"": ""adoption""}, {""id"": 2783, ""name"": ""family's daily life""}, {""id"": 4428, ""name"": ""stone age""}, {""id"": 4812, ""name"": ""plan""}, {""id"": 6054, ""name"": ""friendship""}, {""id"": 12392, ""name"": ""best friend""}, {""id"": 12616, ""name"": ""dinosaur""}]",en,The Flintstones,Modern Stone Age family the Flintstones hit the big screen in this live-action version of the classic cartoon. Fred helps Barney adopt a child. Barney sees an opportunity to repay him when Slate Mining tests its employees to find a new executive. But no good deed goes unpunished.,28.964162,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Hanna-Barbera Productions"", ""id"": 1353}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",26-05,341631208,91,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Yabba-Dabba-Doo!
Journey to the Center of the Earth,486,45000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",NA,"[{""id"": 3347, ""name"": ""volcano""}, {""id"": 10506, ""name"": ""prehistoric""}, {""id"": 12616, ""name"": ""dinosaur""}, {""id"": 166958, ""name"": ""prehistoric creature""}, {""id"": 209714, ""name"": ""3d""}]",en,Journey to the Center of the Earth,"On a quest to find out what happened to his missing brother, a scientist, his nephew and their mountain guide discover a fantastic and dangerous lost world in the center of the earth.",53.090422,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Walden Media"", ""id"": 10221}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",10-07,101702060,93,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""is"", ""name"": ""\u00cdslenska""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}]",Released,Same Planet. Different World.
Training Day,1102,45000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",NA,"[{""id"": 796, ""name"": ""police brutality""}, {""id"": 1601, ""name"": ""war on drugs""}, {""id"": 2149, ""name"": ""drug traffic""}, {""id"": 2231, ""name"": ""drug dealer""}, {""id"": 12670, ""name"": ""los angeles""}, {""id"": 33426, ""name"": ""gang member""}, {""id"": 164253, ""name"": ""mexican american""}, {""id"": 183637, ""name"": ""barrio""}, {""id"": 206318, ""name"": ""cholo""}]",en,Training Day,"On his first day on the job as a narcotics officer, a rookie cop works with a rogue detective who isn't what he appears.",52.081131,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""NPV Entertainment"", ""id"": 172}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Outlaw Productions (I)"", ""id"": 19507}, {""name"": ""WV Films II"", ""id"": 24939}]","[{""iso_3166_1"": ""AU"", ""name"": ""Australia""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",05-10,104876233,122,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}, {""iso_639_1"": ""ko"", ""name"": ""\ud55c\uad6d\uc5b4/\uc870\uc120\ub9d0""}]",Released,"The only thing more dangerous than the line being crossed, is the cop who will cross it."
Scary Movie 2,3161,45000000,"[{""id"": 35, ""name"": ""Comedy""}]",NA,"[{""id"": 572, ""name"": ""sex""}, {""id"": 2626, ""name"": ""exorcism""}, {""id"": 33468, ""name"": ""secret door""}]",en,Scary Movie 2,"While the original parodied slasher flicks like Scream, Keenen Ivory Wayans's sequel to Scary Movie takes comedic aim at haunted house movies. A group of students visit a mansion called ""Hell House,"" and murderous high jinks ensue.",35.376971,"[{""name"": ""Gold/Miller Productions"", ""id"": 1607}, {""name"": ""Wayans Bros. Entertainment"", ""id"": 1608}, {""name"": ""Dimension Films"", ""id"": 7405}, {""name"": ""Brad Grey Pictures"", ""id"": 10958}]","[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",04-07,141220678,83,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,No More Mercy. No More Shame. No More Sequels - Honest! - We Lied.
Coach Carter,1073,30000000,"[{""id"": 18, ""name"": ""Drama""}]",NA,"[{""id"": 577, ""name"": ""black people""}, {""id"": 5833, ""name"": ""autoritian education""}, {""id"": 6075, ""name"": ""sport""}, {""id"": 6270, ""name"": ""high school""}, {""id"": 6278, ""name"": ""scholarship""}, {""id"": 6496, ""name"": ""basketball""}, {""id"": 7920, ""name"": ""violence in schools""}, {""id"": 10508, ""name"": ""teacher""}, {""id"": 193547, ""name"": ""teachers and students""}]",en,Coach Carter,"Based on a true story, in which Richmond High School head basketball coach Ken Carter made headlines in 1999 for benching his undefeated team due to poor academic results.",23.234651,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""MTV Films"", ""id"": 746}, {""name"": ""Tollin/Robbins Productions"", ""id"": 2184}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",14-01,76669806,136,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,It begins on the street. It ends here.
Love Actually,4472,40000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]",http://www.loveactually.com/,"[{""id"": 212, ""name"": ""london england""}, {""id"": 255, ""name"": ""male nudity""}, {""id"": 293, ""name"": ""female nudity""}, {""id"": 699, ""name"": ""love at first sight""}, {""id"": 840, ""name"": ""usa president""}, {""id"": 916, ""name"": ""marseille""}, {""id"": 1438, ""name"": ""office""}, {""id"": 1441, ""name"": ""christmas party""}, {""id"": 1459, ""name"": ""marriage proposal""}, {""id"": 2182, ""name"": ""bars and restaurants""}, {""id"": 2562, ""name"": ""press conference""}, {""id"": 2568, ""name"": ""language barrier""}, {""id"": 2569, ""name"": ""prime minister""}, {""id"": 2570, ""name"": ""rock star""}, {""id"": 2571, ""name"": ""tv show""}, {""id"": 2573, ""name"": ""metal detector""}, {""id"": 5597, ""name"": ""war on terror""}, {""id"": 7358, ""name"": ""school performance""}, {""id"": 171366, ""name"": ""multiple storylines""}]",en,Love Actually,Follows seemingly unrelated people as their lives begin to intertwine while they fall in – and out – of love. Affections languish and develop as Christmas draws near.,37.073127,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""DNA Films"", ""id"": 284}, {""name"": ""StudioCanal"", ""id"": 694}, {""name"": ""Working Title Films"", ""id"": 10163}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",07-09,244931766,135,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""pt"", ""name"": ""Portugu\u00eas""}]",Released,The ultimate romantic comedy.
From Hell,2734,35000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",NA,"[{""id"": 1465, ""name"": ""loss of family""}, {""id"": 1803, ""name"": ""drug addiction""}, {""id"": 4007, ""name"": ""jack the ripper""}]",en,From Hell,Frederick Abberline is an opium-huffing inspector from Scotland Yard who falls for one of Jack the Ripper's prostitute targets in this Hughes brothers adaption of a graphic novel that posits the Ripper's true identity.,26.134678,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Underworld Entertainment"", ""id"": 476}]","[{""iso_3166_1"": ""CZ"", ""name"": ""Czech Republic""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]",19-10,74558115,122,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""hu"", ""name"": ""Magyar""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Released,Only the legend will survive.
Kicking & Screaming,3441,45000000,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",NA,"[{""id"": 494, ""name"": ""father son relationship""}, {""id"": 2200, ""name"": ""generations confilct""}, {""id"": 6075, ""name"": ""sport""}, {""id"": 8864, ""name"": ""amateur soccer""}, {""id"": 223149, ""name"": ""soccer coach""}]",en,Kicking & Screaming,"Phil Weston has been unathletic his entire life. In college he failed at every sport that he tried out for. It looks like his 10-year old son, Sam, is following in his footsteps. But with becoming the coach of The Soccers, an already successful soccer team, everything changes.",8.99269,"[{""name"": ""Universal Pictures"", ""id"": 33}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",13-05,56070433,95,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}]",Released,One man could lead this team to glory. . . That man was busy
The Hitchhiker's Guide to the Galaxy,528,50000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 878, ""name"": ""Science Fiction""}]",NA,"[{""id"": 211, ""name"": ""bureaucracy""}, {""id"": 392, ""name"": ""england""}, {""id"": 630, ""name"": ""dolphin""}, {""id"": 803, ""name"": ""android""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 3713, ""name"": ""chase""}, {""id"": 3801, ""name"": ""space travel""}, {""id"": 4270, ""name"": ""galaxy""}, {""id"": 9831, ""name"": ""spaceship""}, {""id"": 9951, ""name"": ""alien""}, {""id"": 10121, ""name"": ""stop motion""}, {""id"": 10349, ""name"": ""survival""}, {""id"": 11546, ""name"": ""hitchhiker""}, {""id"": 14544, ""name"": ""robot""}, {""id"": 14909, ""name"": ""alien invasion""}, {""id"": 177144, ""name"": ""everyman""}, {""id"": 177145, ""name"": ""hyperspace""}, {""id"": 177146, ""name"": ""meaning of life""}, {""id"": 178640, ""name"": ""based on radio show""}, {""id"": 192962, ""name"": ""alien attack""}, {""id"": 221652, ""name"": ""bathrobe""}, {""id"": 221653, ""name"": ""destruction of earth""}, {""id"": 221654, ""name"": ""intergalactic travel""}, {""id"": 221655, ""name"": ""islington england""}, {""id"": 221656, ""name"": ""talking robot""}]",en,The Hitchhiker's Guide to the Galaxy,"Mere seconds before the Earth is to be demolished by an alien construction crew, Arthur Dent is swept off the planet by his friend Ford Prefect, a researcher penning a new edition of ""The Hitchhiker's Guide to the Galaxy.""",51.742065,"[{""name"": ""Spyglass Entertainment"", ""id"": 158}, {""name"": ""Everyman Pictures"", ""id"": 2242}, {""name"": ""Hammer & Tongs"", ""id"": 2243}, {""name"": ""Touchstone Pictures"", ""id"": 9195}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",15-01,104478416,109,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Don't leave Earth without it.
The Pledge,3309,35000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",http://movies.warnerbros.com/thepledge/,"[{""id"": 6044, ""name"": ""promise""}, {""id"": 9826, ""name"": ""murder""}, {""id"": 13151, ""name"": ""drawing""}, {""id"": 177996, ""name"": ""porcupine""}, {""id"": 187327, ""name"": ""pledge""}, {""id"": 187328, ""name"": ""retirement party""}, {""id"": 187329, ""name"": ""criminal profile""}]",en,The Pledge,A police chief about to retire pledges to help a woman find her daughter's killer. Based on a story by Swiss writer Friedrich Dürrenmatt.,12.495436,"[{""name"": ""Epsilon Motion Pictures"", ""id"": 1171}, {""name"": ""Franchise Pictures"", ""id"": 1403}, {""name"": ""Morgan Creek Productions"", ""id"": 10210}, {""name"": ""Clyde Is Hungry Films"", ""id"": 12263}, {""name"": ""Pledge Productions"", ""id"": 12264}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",09-01,294e5,123,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,NA
All the Pretty Horses,2182,57000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 37, ""name"": ""Western""}]",http://alltheprettyhorses.com/,"[{""id"": 246, ""name"": ""dancing""}, {""id"": 316, ""name"": ""chess""}, {""id"": 1563, ""name"": ""prisoner""}, {""id"": 1909, ""name"": ""coffin""}, {""id"": 2325, ""name"": ""wrong accusal""}, {""id"": 2752, ""name"": ""ranch""}, {""id"": 3800, ""name"": ""airplane""}, {""id"": 9849, ""name"": ""beating""}, {""id"": 9890, ""name"": ""jail""}, {""id"": 9897, ""name"": ""rifle""}, {""id"": 13092, ""name"": ""corpse""}, {""id"": 156795, ""name"": ""lasso""}, {""id"": 156796, ""name"": ""cautery""}]",en,All the Pretty Horses,"The year is 1949. A young Texan named John Grady finds himself without a home after his mother sells the ranch where he has spent his entire life. Lured south of the border by the romance of cowboy life and the promise of a fresh start, Cole and his pal embark on an adventure that will test their resilience, define their maturity, and change their lives forever.",7.524671,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Miramax Films"", ""id"": 14}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",11-12,0,117,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,Some passions can never be tamed.
Bangkok Dangerous,1070,45000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",http://www.bangkokdangerousmovie.net/,"[{""id"": 782, ""name"": ""assassin""}, {""id"": 1293, ""name"": ""asia""}, {""id"": 1419, ""name"": ""gun""}, {""id"": 1635, ""name"": ""deaf-mute""}, {""id"": 2708, ""name"": ""hitman""}, {""id"": 3432, ""name"": ""bangkok""}, {""id"": 3434, ""name"": ""thailand""}, {""id"": 3688, ""name"": ""strip club""}, {""id"": 4488, ""name"": ""apprentice""}, {""id"": 5824, ""name"": ""video surveillance""}, {""id"": 9714, ""name"": ""remake""}, {""id"": 9826, ""name"": ""murder""}, {""id"": 10085, ""name"": ""betrayal""}, {""id"": 10391, ""name"": ""mafia""}, {""id"": 10950, ""name"": ""shootout""}, {""id"": 12391, ""name"": ""boat chase""}, {""id"": 14601, ""name"": ""explosion""}, {""id"": 14967, ""name"": ""foot chase""}, {""id"": 15127, ""name"": ""killer""}, {""id"": 41644, ""name"": ""gunshot""}, {""id"": 187844, ""name"": ""flashback""}, {""id"": 195295, ""name"": ""motorcycle chase""}, {""id"": 226409, ""name"": ""crisis of conscience""}]",en,Bangkok Dangerous,"When carrying out a hit, assassin Joe (Cage) always makes use of the knowledge of the local population. On arriving in Bangkok, Joe meets street kid Kong and he becomes his primary aide. But when Kong is nearly killed, he asks Joe to train him up in the deadly arts and unwittingly becomes a target of a band of killers.",14.813057,"[{""name"": ""Virtual Studios"", ""id"": 449}, {""name"": ""Initial Entertainment Group"", ""id"": 704}, {""name"": ""Saturn Films"", ""id"": 831}, {""name"": ""International Production Company"", ""id"": 1507}, {""name"": ""Blue Star Pictures"", ""id"": 2779}, {""name"": ""Living Films"", ""id"": 2877}, {""name"": ""Bangkok Dangerous"", ""id"": 2878}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",21-08,42487390,99,"[{""iso_639_1"": ""th"", ""name"": ""\u0e20\u0e32\u0e29\u0e32\u0e44\u0e17\u0e22""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,There's only one way out.
Rambo: First Blood Part II,118,44000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 10752, ""name"": ""War""}]",NA,"[{""id"": 279, ""name"": ""usa""}, {""id"": 422, ""name"": ""vietnam veteran""}, {""id"": 1375, ""name"": ""submachine gun""}, {""id"": 1563, ""name"": ""prisoner""}, {""id"": 1968, ""name"": ""prisoners of war""}, {""id"": 2019, ""name"": ""liberation of prisoners""}, {""id"": 2434, ""name"": ""liberation""}, {""id"": 2956, ""name"": ""vietnam""}, {""id"": 2957, ""name"": ""vietnam war""}, {""id"": 3713, ""name"": ""chase""}, {""id"": 4276, ""name"": ""machinegun""}, {""id"": 4595, ""name"": ""u.s. army""}, {""id"": 5774, ""name"": ""forest""}, {""id"": 6025, ""name"": ""photography""}, {""id"": 6086, ""name"": ""government""}, {""id"": 6091, ""name"": ""war""}, {""id"": 9748, ""name"": ""revenge""}, {""id"": 13065, ""name"": ""soldier""}, {""id"": 33705, ""name"": ""agent""}, {""id"": 197602, ""name"": ""denunciation""}]",en,Rambo: First Blood Part II,John Rambo is released from prison by the government for a top-secret covert mission to the last place on Earth he'd want to return - the jungles of Vietnam.,38.653969,"[{""name"": ""TriStar Pictures"", ""id"": 559}, {""name"": ""Carolco Pictures"", ""id"": 14723}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",21-05,300400432,96,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""vi"", ""name"": ""Ti\u1ebfng Vi\u1ec7t""}]",Released,"What most people call hell, he calls home."
Heaven's Gate,2673,44000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 37, ""name"": ""Western""}]",NA,"[{""id"": 680, ""name"": ""montana""}, {""id"": 797, ""name"": ""showdown""}, {""id"": 1411, ""name"": ""brothel""}, {""id"": 1502, ""name"": ""marshal""}, {""id"": 1691, ""name"": ""dance""}, {""id"": 2356, ""name"": ""immigrant""}, {""id"": 5948, ""name"": ""studies""}, {""id"": 9031, ""name"": ""idealist""}]",en,Heaven's Gate,"Harvard graduate James Averill (Kris Kristofferson) is the sheriff of prosperous Jackson County, Wyo., when a battle erupts between the area's poverty-stricken immigrants and its wealthy cattle farmers. The politically connected ranch owners fight the immigrants with the help of Nathan Champion (Christopher Walken), a mercenary competing with Averill for the love of local madam Ella Watson (Isabelle Huppert). As the struggle escalates, Averill and Champion begin to question their decisions.",5.380124,"[{""name"": ""United Artists"", ""id"": 60}, {""name"": ""The Criterion Collection"", ""id"": 10932}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",19-11,3484331,219,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""pl"", ""name"": ""Polski""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Released,The only thing greater than their passion for America... was their passion for each other.
Unleashed,631,45000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}]",http://www.universalstudiosentertainment.com/unleashed/,"[{""id"": 779, ""name"": ""martial arts""}, {""id"": 2708, ""name"": ""hitman""}, {""id"": 10714, ""name"": ""serial killer""}]",en,Unleashed,"Raised as a slave, Danny is used to fighting for his survival. In fact, his ""master,"" Bart, thinks of him as a pet and goes as far as leashing him with a collar so they can make money in fight clubs, where Danny is the main contender. When Bart's crew is in a car accident, Danny escapes and meets a blind, kindhearted piano tuner who takes him in and uses music to free the fighter's long-buried heart.",25.999888,"[{""name"": ""Canal Plus"", ""id"": 104}, {""name"": ""Current Entertainment"", ""id"": 972}, {""name"": ""Clubdeal"", ""id"": 2748}, {""name"": ""TF1 Films Production"", ""id"": 3823}, {""name"": ""EuropaCorp"", ""id"": 6896}, {""name"": ""Qian Yian International"", ""id"": 66739}, {""name"": ""Danny the Dog Prods Ltd."", ""id"": 66740}]","[{""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",02-02,50871113,103,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,Serve No Master
