"id","date","text","tag"
19800,2018-03-31,"Как оказалось, найти мякоть кокоса не так-то просто, не говоря уже про кокосовое молоко. Но, здорово что есть такие магазины как #азбукавкуса ( это #нереклама ) в которых чего только не найдёшь. #milk #coconut #drink #ciconutwater #malee #coconutmilk #vegetarian #natural #fresh #like4like #moscow #vscorussia #vsco #instasize #foodlover","ассортимент"
19801,2018-03-31,"Проснулась сегодня с мыслью что надо собираться на работу, но потом вспомнила, что суббота и это был такой кайф 😂 а вот выпавший ночью снег совсем не радует, завтра 1-ое апреля как никак 🤔 А ещё купила новый абонемент в клуб с круглосуточным посещением на год и как и раньше, с возможностью посещать сразу два разных клуба сети 🙌🏻 сегодня и завтра много дел, главное все распределить грамотно 🙈 #вожиданиивесны #доброеутро #выходные #сырники #сок #абонемент #азбукавкуса #моявесна #goodmorning #fresh #like4like #likeforlike #sport #springtime #mood #dontworrybehappy","спам"
19802,2018-03-31,"Доброе утро!!! Ещё не знаете чем занять субботу? 🤔 Руки в боки, детей в руки 😂 ноги в уги и к нам на выставку! #экогородэкспо которая проходит в #eventhallданиловский Ул. Дубининская, д. 71с5. Если заранее распечатаете на сайте выставки пригласительный билет, вход свободный. Много полезного, натурального и вкусного. А ещё разные мастер-классы. Мы на нашем стенде угощаем самыми вкусными фруктовыми чипсами. Ждём вас! ✌️😄 . . . . . . . #фруктовыечипсымосква #яблочныечипсы#ананасовыечипсы#банановыечипсы#апельсиновыечипсы#чипсы#хрустящеелакомство#полезныйперекус #здоровье#еда #здоровоепитание#витамины #витаминки #можнодетям #можновсем #взятьссобой#попугай#сахарныйхруст#снеки #crunchycrew #вегетарианство #веганство #вегетарианскаяеда #зож #пп #азбукавкуса #городсад","спам"
19803,2018-03-31,"Когда в азбуке вкуса нет батончиков без сахара","ассортимент"
19804,2018-03-31,"Гости #БФресурс ⠀ Совсем недавно к нам заглянула замечательная мама, спортивная и талантливая девушка, наш друг - @anastasia_lokai . Настя познакомилась с подопечными фонда, увидела процесс реабилитации и инновационные методики, применяемые в этой сфере. Мы всегда очень рады гостям 🤗 кто хочет поближе познакомиться с #БФресурс пишите в Директ. #реабилитация #помощь #фонды #азбукавкуса #дети #дцпнеприговор #дцп #особыедети #волонтер #благотворительность #хочупомогать #длт #галерея #галереяспб #цум #мегапарнас #мегадыбенко #михайловскийтеатр #опера #балет #театр #мариинка #маникюрспб #фруктоваялавка #санктпетербург #эрготерапия #дефектолог #логопед #спинабифида","спам"
19805,2018-03-24,"А в Петербурге в Азбуке вкуса стоят журналы с полновесным интервью. Скоро пропадут 😉.","ассортимент"
19806,2018-03-24,"в середине где-то стойки. Но НЕ в “Азбуке Вкуса”","ассортимент"
19807,2018-03-31,"кокосовая мякоть из азбуки вкуса - моя любимая находка из последних :)","ассортимент"
19808,2018-03-31,"ти открыли свое производство в Зеленом доле и вот только появились на прилавках Азбуки вкуса. А скоро появятся в Бэхетле.","ассортимент"
19809,2018-03-31,"В Азбуке вкуса брали арбуз попался сладкий!","качество продукции"
19810,2018-03-30,"Когда мы вместе с нею, другие пары блекнут💟🔥👋 . . . 🎵Yanix-Posh Spice #lovestory #sevastopol #ukraine #yanix #vogue #love #moscowcity #азбукавкуса #iconclub","спам"
19811,2018-03-30,"В общем мой сегодняшний улов,все куплено в Азбука вкуса🌱 -паста с овощами(вкусно👌🏻) - овсяные хлопья(ещё не пробовала...","качество продукции"
19812,2018-03-30," да, 170гр представлены в Азбуке Вкуса, Республике, Город Сад и еще во многих магазинах. Всех наших партнеров можно найти на нашем сайте в разделе Где купить💚","ассортимент"
19813,2018-03-30,"#такаяблизкаяяпония#аквагрим#япония#азбукавкуса","упоминание"
19814,2018-03-30,"Открытие ❗️100й❗️#азбукавкуса #ялюблюсвоюработу #арбат","спам"
19815,2018-03-30,"Приятно, когда тебе дарят всякие приятности и вкусности🍰😊!!! Но когда это делают приятные люди...это вдвойне приятно!! Спасибо большое!!!😘 #вкусности#нянням#азбукавкуса","ассортимент"
19816,2018-03-30,"Ни для кого не секрет, что в режиме мегаполиса не всегда есть время для соблюдения режима питания😥 Лично для себя я нашла выход: это магазины с качественными продуктами и здоровыми блюдами, а именно, ВкусВилл и Азбука ВкусаСеть данных магазинов всегда рядом, из плюсов: +всегда пешая доступность от метро +огромный выбор полезных продуктов и готовых блюд Из минусов: -на мой взгляд, цена иногда завышена Перед вами любимые всеми салат Цезарь с курицей из ВкусВилла. Состав: салат романо свежий, куриное филе, свежие помидоры черри, сыр пармезан","конкуренты"
19817,2018-03-30,"Не ходите люди в азбуку на Можайке по пятницам гулять.. сотрудники говорят, что пятница- день насекомых #азбукавкуса","сервис"
19818,2018-03-30,"Фрукты и ягоды в сочетании с натуральным шоколадом - вкусное и полезное лакомство. 🍫😋 ⠀ Мы позаботились о том, чтобы наши покупатели наслаждались вкусом только отменного натурального шоколада. 😊 ⠀ Фрукты и ягоды, высушенные под солнцем, покрытые натуральным тёмным шоколадом – это божественное наслаждение, которое сочетает в себе пользу и непревзойденное гастрономическое удовольствие. 🌞 ⠀ Порадуйте своих близких эксклюзивными шоколадными батончиками ""te Gusto"". 👨‍👩‍👧‍👧 Ищите нашу продукцию в супермаркетах вашего города! 😉 ⠀ #фруктывшоколаде #fruit #пастила #tm_tegusto #азбукавкуса #ecofood #весна #пп #зож #vegan #raw #healthy #фрукты #ятебенравлюсь #tegusto","спам"
19819,2018-03-30,"Вечер пятницы это визит на рынок. Нужно закупить еды на неделю вперёд. Получается дешевле, чем в какой-нибудь ""Азбуке вкуса"". И намного больше сервиса. Взвесят, упакуют, донесут до машины. Это удобно. Удивительно, что ни в одном магазине такого нет","конкуренты"
19820,2018-03-30,"Большие планы на выходные — это про нас!😉 В списке дел обязательный пункт: забежать в @azbukavkusa за ананасовым мармеладом от @sooperfoods🍍 #КАТАЛОГ_SOOPERFOODS #organic #organicfood #organicshop #superfoods #superfoodshop","ассортимент"
19821,2018-03-30,"Апрельский номер журнала «Военный» продается во всех крупных торговых сетях: #Ашан, #Metro, #Окей, #АзбукаВкуса... #042018 #апрель #апрельский номер #военжур #военныйжурнал #ЖурналВоенный #армия #станиславговорухин #СМИ #путин #путиннаобложке #обложка #владимирпутин #свежийномер","ассортимент"
19822,2018-03-30,"Конфетки из азбуки вкуса?","ассортимент"
19823,2018-03-30,"выше ответила на этот вопрос. Азбука вкуса или на сайте производителя можно заказать","ассортимент"
19824,2018-03-30,"каком-нибудь умеренно пафосносном месте. В Азбуке вкуса, например. На Староневском проспекте. Пирожное, кстати, отличное. С крошечными макаруни и смородиной. Да и #капучино тоже весьма неплох. И вообще #уютненько. Чего и вам желаю. #азбукавкуса #вкусомания #кофе #впитережить #впитереесть #невскийпроспект #сферауслуг #город_депрессняк #еда #авdaily #coffee #spb #food #этикет","качество продукции"
19825,2018-03-30,"Ночной жор с кашей 5 злаков на кокосовом молоке от Азбуки Вкуса😛 @azbukavkusa #еда #food #foodporn #foodblogger ","ассортимент"
19826,2018-03-30,"Внести последние штрихи в Ваш образ ухоженной женщины поможет такая важная процедура, как сахарная эпиляция зоны бикини (шугаринг). Именно этот вид удаления волос сделает кожу в самых интимных частях Вашего тела удивительно нежной и гладкой на продолжительное время. ❤️❤️❤️ #косметологияхимки #косметологиякуркино #салонкрасотыхимки #салонкрасотыкуркино #студиякрасотыхимки #студиякрасотыкуркино #маникюркуркино #маникюрхимки #педикюркуркино #педикюрхимки #укладкакуркино #укладкахимки #массажхимки #массажкуркино #омбрехимки #омбрекуркино #мегахимки #ногти #розовый #френч #наращивание #массаж #массажхимки #массажкуркино #похудение #похудениехимки #похудениекуркино #новогорск #сбербанккуркино #азбукавкуса","спам"
19827,2018-03-30,"Сообщение от Мatilda showthread.php?p=157841775#post157841775 В окее конечно неловко, в азбуке вкуса норм хожу &#55357;&#56834; Скажите мне, когда там будете, я приду на вас посмотреть.","упоминание"
19828,2018-03-30,"Сомневаюсь ) ну или раз в год. Если бы Вы туда ходите регулярно, то на меня смотреть не пришлось бы . Там все такие постоянные покупатели 😂 И я бы поэкономила на азбуке в Вашем положении . Копите на Авто , чтобы на общественном транспорте в азбуку вкуса не ездить","упоминание"
19829,2018-03-31,"Светлана, я отовариваюсь только в глобус груме на кутузе и в азбуке вкуса на Рублевке. У нас в мск в ЗАО не отоваривают. Так то 😎","упоминание"
19830,2018-03-31,"А вот сейчас азбуку вкуса где ценники вообще не видно так как шрифт мелкий приняли. Значит дело все таки в модераторе.","сервис"
19831,2018-03-31,"Видимо и цена соответствующая.есть ещё ""Азбука вкуса"" там все свежее.","конкуренты"
19832,2018-03-31,"Русских людей не проведешь. Всякий истеричный энтузиазм немедленно расшифровывается как гнусная кампанейщина и его привычно игнорируют. В деревенском торговом центре для новых русских объявляют пожарную тревогу. Со всем приобретенным в последние три дня опытом. Мол, окажите помощь посетителям в поисках выхода и все такое. Три малохольных посетителя притворяются глухонемыми и продолжают двигаться намеченным маршрутом к ""Азбуке вкуса"" и ювелирному бутику. На лицах персонала магазинов с ассортиментом миланских стоков и иным дорогостоящим","упоминание"
19833,2018-03-31,"Друзья, всем привет! ВАЖНЫЕ изменения по работе с Азбукой Вкуса: 1) Если произошла ОТМЕНА доставки, то закрывать её","сервис"
19834,2018-03-31,"Вы часто делаете покупки в «Азбуке Вкуса» и являетесь участником клубной программы «Вкусомания»? Тогда напоминаем, что у вас остались буквально считанные часы до 1 апреля, чтобы пожертвовать накопленные бонусы фонду «Подари жизнь»! Как это сделать, читайте по ссылке:  https://podari-zhizn.ru/main/node/31269","вкусомания"
19835,2018-03-31,"Алексей, для этого есть доставка из Азбуки Вкуса 😉","сервис"
19836,2018-03-31,"Согласна про приложение Едадил. Смотрим скидки и идём по магазинам, благо рядом их много. В Карусель ехать надо, от дома далековато. А Пятёрки, Дикси и Магниты везде понатыканы😊 Детские творожок и кефир в Кораблике берём, там часто тоже акции, иногда по пути забегаю в Азбуку Вкуса - там реально что-то полезное купить недорого, но если без акций - то цены космос.","необоснованная цена"
19837,2018-03-31,"Продажи аптечной сети «Мега Фарм» в 2017 году превысили 4 млрд рублей В 2017 г. – это первый полный календарный год работы сети – выручка аптечной сети «Мега Фарм» (входит в Marathon Group) составила 4,4 млрд руб. Таковы предварительные данные компании. Первые аптеки «Да, здоров!» были открыты в июне 2016 г., к концу года в сотрудничестве с Х5 Retail Group «Мега Фарм» управляла 172 аптеками, 2017 г. сеть завершила с 870 аптеками, добавив еще один бренд «А-Мега», а также «Азбука Life» в партнерстве с «Азбукой Вкуса».","упоминание"
19838,2018-03-31,"а что у ВАС на обед? 🍃 АЗБУКА ВКУСА 🍃 - https://vk.com/album-70234463_247786696 h… Волшебный бульончик грибной 100 г 69 руб. ВД","ассортимент"
19839,2018-03-31,"Елена, переходите у Азбуки Вкуса, на светофоре, так безопаснее будет..","упоминание"
19840,2018-03-31,"Я плачу только за результат❗ Есть у меня знакомый, который постоянно повторяет эту фразу и он в неё искренне верит 😃 Он честно хочет купить прибыль в своём бизнесе, как мраморную говядину в Азбука вкуса. Полагаю у вас тоже есть такие знакомые. . А что значит по сути эта фраза❓ А по сути это значит, что у него нет результата в его бизнесе🙅и он не знает как его получить🤷. Потому что Если бы знал, давно бы сделал 👍 А не искал бы  волшебника, который за 3 рубля заработает чужому дяде миллион. И не переплачивать, каждый раз пытаясь купить волшебные таблетки. Если этот ролик был полезен для вас ставьте ЛАЙК❤️ делайте репост🔄","упоминание"
19841,2018-03-31,"и спокойная работа магазина продолжена. Нашей продавщице мы обьявили строгий выговор за то, что она отпустила своего защитника без богатых даров от нашего крестьянского хозяйства. Умный и смелый незнакомец! Награда ждет героя. Мы хотим отблагодарить вас самым лучшим и самым вкусным из того, что у нас есть - тортом Наполеон из русской печи и мороженным тортом из кондитерского дома братьев Стерлиговых. Слава Исусу Христу! Герман Стерлигов. Смелый понятно почему, а почему умный, вы поняли? Потому что в наших магазинчиках только самые умные затариваются. Не самые богатые, а самые умные. Дураки химическую отраву покупают во всяких «азбуках вкуса». А умный всегда смелый. Смелость одно из проявлений ума. Мы гордимся нашими покупателями.","конкуренты"
19842,2018-03-31,"Слава Исусу Христу! Герман Стерлигов. Смелый понятно почему, а почему умный, вы поняли? Потому что в наших магазинчиках только самые умные затариваются. Не самые богатые, а самые умные. Дураки химическую отраву покупают во всяких «азбуках вкуса». А умный всегда смелый. Смелость одно из проявлений ума. Мы гордимся нашими покупателями.","конкуренты"
19843,2018-03-31,"Импорт кст покупаем в Азбуке Вкуса. Не так страшен чёрт, как его малюют. Там куча разных скидок, акций, можно покупать. И мясо там, одно из самых свежих","качество продукции"
19844,2018-03-31,". Сев в прекрасный мерседес, я поприветствовала молодого человека, и он тронулся. — Влад. — улыбнулся тот. — И зачем мне это? — приподняла бровь я. — У тебя на лице написано, что ты имени моего не знаешь. — посмеялся Влад. — Ой-ой-ой, в магазин заедь пожалуйста, я пить хочу. — указав на супермаркет «Азбука вкуса», проговорила я. — А денег-то хватит в таком магазинчике закупаться? — усмехнулся он. — Свои ухмылки и усмешки прибереги для кого-то более тупого, а никто и не говорил, что расплачиваться буду я. — подмигнув, я вышла из машины","упоминание"
19845,2018-03-31,"по сугробам и пытался через щель сфотографировать водительскую сторону (это косяк не Anytime, а предыдущего арендатора), телефон разрядился еще сильнее и когда я сел за руль осталось около 5% заряда. Вот тут приложение решило выкинуть меня из аккаунта, затребовало ПИН-код, а телефон предательски выключился. Зарядки в машине нет. Что делать? Огромное спасибо сотруднику кафе в Азбуке Вкуса на Олимпийском проспекте! Он нашел в интернете телефон «службы поддержки» Anytime и дал позвонить со своего телефона. Далее состоялся такой диалог:","сервис"
19846,2018-03-31,"чего вопрос был исчерпан, кровь с пола смыта и спокойная работа магазина продолжена. Нашей продавщице мы обьявили строгий выговор за то, что она отпустила своего защитника без богатых даров от нашего крестьянского хозяйства. Умный и смелый незнакомец! Награда ждет героя. Мы хотим отблагодарить вас самым лучшим и самым вкусным из того, что у нас есть - тортом Наполеон из русской печи и мороженным тортом из кондитерского дома братьев Стерлиговых. Слава Исусу Христу! Герман Стерлигов. Смелый понятно почему, а почему умный, вы поняли? Потому что в наших магазинчиках только самые умные затариваются. Не самые богатые, а самые умные. Дураки химическую отраву покупают во всяких «азбукахвкуса». А умный всегда смелый. Смелость одно из проявлений ума. Мы гордимся нашими покупателями.","конкуренты"
19847,2018-03-31,"и спокойная работа магазина продолжена. Нашей продавщице мы обьявили строгий выговор за то, что она отпустила своего защитника без богатых даров от нашего крестьянского хозяйства. Умный и смелый незнакомец! Награда ждет героя. Мы хотим отблагодарить вас самым лучшим и самым вкусным из того, что у нас есть - тортом Наполеон из русской печи и мороженным тортом из кондитерского дома братьев Стерлиговых. Слава Исусу Христу! Герман Стерлигов. Смелый понятно почему, а почему умный, вы поняли? Потому что в наших магазинчиках только самые умные затариваются. Не самые богатые, а самые умные. Дураки химическую отраву покупают во всяких «азбуках вкуса». А умный всегда смелый. Смелость одно из проявлений ума. Мы гордимся нашими покупателями.","конкуренты"
19848,2018-03-31,"и спокойная работа магазина продолжена. Нашей продавщице мы обьявили строгий выговор за то, что она отпустила своего защитника без богатых даров от нашего крестьянского хозяйства. Умный и смелый незнакомец! Награда ждет героя. Мы хотим отблагодарить вас самым лучшим и самым вкусным из того, что у нас есть - тортом Наполеон из русской печи и мороженным тортом из кондитерского дома братьев Стерлиговых. Слава Исусу Христу! Герман Стерлигов. Смелый понятно почему, а почему умный, вы поняли? Потому что в наших магазинчиках только самые умные затариваются. Не самые богатые, а самые умные. Дураки химическую отраву покупают во всяких «азбуках вкуса». А умный всегда смелый. Смелость одно из проявлений ума. Мы гордимся нашими покупателями.","конкуренты"
19849,2018-03-31,",45 кг. Соответственно, килограмм Лифляндской, к примеру, говядины стоил тогда около 0,31 рублей. Сегодня «Мякоть из фермерской говядины (тазобедренная часть)» в магазине «Азбука вкуса» стоит 757 рублей за килограмм; в «демократичном» же «Ашане» цена составляет 300 рублей за кило. Значит, средняя рыночная стоимость килограмма говядины в Москве (без экономических корректировок) равняется 528 рублям 50 копейкам. Стало быть, рубль 1838 года стоил бы сегодня примерно 1700 современных российских рублей. А значит, сегодня при тех же договоренностях мы","цена"
19850,2018-03-31,"Илья, это разные помещения, хотя и похожие на первый взгляд ! Разберем детально : 1)доски на потолке идут в разные стороны от окна ; 2) справа от окна бревна совершенно разные - в одном месте висит корзинка , во втором фартуки; 3) стол где стоят молочные продукты у Алены это барная стойка , где она на фото с пластиковыми ведрами ? 4) где этот кран что прямо под окном за спиной у Алены ? 5) светильники на потолке разные ... Не буду дальше продолжать , найди 10 отличий. Этот мастер класс проходит в зимнем ресторане / американском домике что прям напротив ворот. А фото с пакетами из азбуки вкуса неведомо откуда . Сепараторы они и в Африке сепараторы и не являются доказательством того что это Слобода на фото с пакетами.","упоминание"
