"","X1","title","movie_id","rating","genres","popularity","runtime","movie_year","production_companies","production_countries","keywords","cast","director"
"11",11,"Final Fantasy: The Spirits Within",1983,3.36363636363636,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",26.074908,106,2001,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Square USA"", ""id"": 4164}, {""name"": ""Chris Lee Productions"", ""id"": 20033}]","[{""iso_3166_1"": ""JP"", ""name"": ""Japan""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]","[{""id"": 3994, ""name"": ""battle assignment""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 9951, ""name"": ""alien""}, {""id"": 12413, ""name"": ""downfall""}, {""id"": 14760, ""name"": ""scientist""}, {""id"": 41645, ""name"": ""based on video game""}]","AlecBaldwin SteveBuscemi","HironobuSakaguchi MotoSakakibara MotonoriSakakibara"
"12",12,"Bad Boys II",3638,3.50746268656716,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",38.068736,147,2003,"[{""name"": ""Columbia Pictures Corporation"", ""id"": 441}, {""name"": ""Don Simpson/Jerry Bruckheimer Films"", ""id"": 10288}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]","[{""id"": 416, ""name"": ""miami""}, {""id"": 529, ""name"": ""ku klux klan""}, {""id"": 701, ""name"": ""cuba""}, {""id"": 1568, ""name"": ""undercover""}, {""id"": 1666, ""name"": ""mexican standoff""}, {""id"": 1941, ""name"": ""ecstasy""}, {""id"": 7963, ""name"": ""guant\u00e1namo""}, {""id"": 10089, ""name"": ""slaughter""}, {""id"": 10950, ""name"": ""shootout""}, {""id"": 12371, ""name"": ""gunfight""}, {""id"": 12648, ""name"": ""bromance""}, {""id"": 13142, ""name"": ""gangster""}, {""id"": 14819, ""name"": ""violence""}, {""id"": 14967, ""name"": ""foot chase""}, {""id"": 15271, ""name"": ""interrogation""}, {""id"": 15483, ""name"": ""car chase""}, {""id"": 18026, ""name"": ""drug lord""}, {""id"": 18067, ""name"": ""exploding house""}, {""id"": 155799, ""name"": ""narcotics cop""}, {""id"": 156117, ""name"": ""illegal drugs""}, {""id"": 156805, ""name"": ""dea agent""}, {""id"": 167316, ""name"": ""buddy cop""}, {""id"": 179093, ""name"": ""criminal underworld""}, {""id"": 219404, ""name"": ""action hero""}, {""id"": 226380, ""name"": ""haitian gang""}, {""id"": 226381, ""name"": ""minefield""}]","GabrielleUnion MartinLawrence WillSmith","MichaelBay"
"13",13,"Dinosaur",4100,3.72222222222222,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",26.548594,82,2000,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Walt Disney Feature Animation"", ""id"": 10217}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]","[{""id"": 843, ""name"": ""cataclysm""}, {""id"": 1423, ""name"": ""asteroid""}, {""id"": 3077, ""name"": ""leader""}, {""id"": 4803, ""name"": ""comet""}, {""id"": 10336, ""name"": ""animation""}, {""id"": 10506, ""name"": ""prehistoric""}, {""id"": 10789, ""name"": ""prehistoric egg""}, {""id"": 12616, ""name"": ""dinosaur""}, {""id"": 161186, ""name"": ""nesting grounds""}, {""id"": 166958, ""name"": ""prehistoric creature""}, {""id"": 178645, ""name"": ""prehistoric adventure""}, {""id"": 181033, ""name"": ""lemur""}, {""id"": 183414, ""name"": ""prehistoric times""}]","D.B.Sweeney JuliannaMargulies SamuelE.Wright","EricLeighton RalphZondag"
"14",14,"Pirates of the Caribbean: The Curse of the Black Pearl",1905,4.13584288052373,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",271.972889,143,2003,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jerry Bruckheimer Films"", ""id"": 130}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]","[{""id"": 911, ""name"": ""exotic island""}, {""id"": 1318, ""name"": ""blacksmith""}, {""id"": 1319, ""name"": ""east india trading company""}, {""id"": 1321, ""name"": ""gold""}, {""id"": 1459, ""name"": ""marriage proposal""}, {""id"": 1860, ""name"": ""mutiny""}, {""id"": 3266, ""name"": ""jamaica""}, {""id"": 4062, ""name"": ""skeleton""}, {""id"": 5600, ""name"": ""daughter""}, {""id"": 5744, ""name"": ""governor""}, {""id"": 11086, ""name"": ""wooden eye""}, {""id"": 11087, ""name"": ""gold coin""}, {""id"": 12988, ""name"": ""pirate""}, {""id"": 33457, ""name"": ""alcoholic""}, {""id"": 157186, ""name"": ""swashbuckler""}, {""id"": 167861, ""name"": ""caribbean""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}, {""id"": 185200, ""name"": ""pirate ship""}, {""id"": 235625, ""name"": ""capuchin monkey""}, {""id"": 235626, ""name"": ""tortuga""}]","GeoffreyRush JohnnyDepp JonathanPryce KeiraKnightley OrlandoBloom","GoreVerbinski"
"15",15,"Clash of the Titans",1709,3.64583333333333,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",47.686442,106,1981,"[{""name"": ""The Zanuck Company"", ""id"": 80}, {""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Thunder Road Pictures"", ""id"": 3528}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Moving Picture Company (MPC)"", ""id"": 20478}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]","[{""id"": 2033, ""name"": ""hades""}, {""id"": 2035, ""name"": ""mythology""}, {""id"": 2036, ""name"": ""greek mythology""}, {""id"": 8985, ""name"": ""zeus""}, {""id"": 10863, ""name"": ""medusa""}, {""id"": 11624, ""name"": ""mythological beast""}, {""id"": 33696, ""name"": ""sea monster""}, {""id"": 161170, ""name"": ""perseus""}, {""id"": 161171, ""name"": ""kraken""}, {""id"": 161172, ""name"": ""gods""}, {""id"": 162861, ""name"": ""ancient greece""}, {""id"": 162862, ""name"": ""based on greek myth""}, {""id"": 209714, ""name"": ""3d""}]","LiamNeeson RalphFiennes SamWorthington","LouisLeterrier"
"16",16,"The Perfect Storm",708,3.27551020408163,"[{""id"": 18, ""name"": ""Drama""}]",25.752118,130,2000,"[{""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Baltimore Spring Creek Productions"", ""id"": 16061}, {""name"": ""Radiant Productions"", ""id"": 18990}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]","[{""id"": 3366, ""name"": ""u.s. air force""}, {""id"": 13046, ""name"": ""grocery""}, {""id"": 168663, ""name"": ""jamaican""}, {""id"": 168669, ""name"": ""meteorologist""}, {""id"": 168672, ""name"": ""rescue boat""}, {""id"": 168673, ""name"": ""marina""}, {""id"": 168676, ""name"": ""city hall""}, {""id"": 168678, ""name"": ""the flemish cap""}, {""id"": 168679, ""name"": ""male camaraderie""}, {""id"": 168683, ""name"": ""storm at sea""}]","GeorgeClooney MarkWahlberg","WolfgangPetersen"
"17",17,"Stuart Little 2",252,3.55384615384615,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}]",27.990284,78,2002,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Sony Pictures Entertainment"", ""id"": 5752}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]","[{""id"": 2161, ""name"": ""mouse""}, {""id"": 2639, ""name"": ""falcon""}, {""id"": 2646, ""name"": ""bird""}, {""id"": 6054, ""name"": ""friendship""}, {""id"": 18035, ""name"": ""family""}]","GeenaDavis MichaelJ.Fox","RobMinkoff"
"18",18,"Speed Racer",3546,3.66666666666667,"[{""id"": 28, ""name"": ""Action""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 878, ""name"": ""Science Fiction""}]",17.060695,135,1967,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Studio Babelsberg"", ""id"": 264}, {""name"": ""Anarchos Productions"", ""id"": 450}, {""name"": ""Silver Pictures"", ""id"": 1885}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Velocity Productions"", ""id"": 12170}]","[{""iso_3166_1"": ""AU"", ""name"": ""Australia""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]","[{""id"": 830, ""name"": ""car race""}, {""id"": 963, ""name"": ""loss of brother""}, {""id"": 2552, ""name"": ""chimp""}, {""id"": 18035, ""name"": ""family""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 187056, ""name"": ""woman director""}]","EmileHirsch","AndyWachowski LanaWachowski"
"19",19,"Dante's Peak",3113,3.25925925925926,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",16.90444,108,1997,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Pacific Western"", ""id"": 1280}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]","[{""id"": 720, ""name"": ""helicopter""}, {""id"": 1415, ""name"": ""small town""}, {""id"": 1919, ""name"": ""mayor""}, {""id"": 2227, ""name"": ""evacuation""}, {""id"": 2669, ""name"": ""motel""}, {""id"": 2859, ""name"": ""lava""}, {""id"": 3347, ""name"": ""volcano""}, {""id"": 3623, ""name"": ""cabin""}, {""id"": 4663, ""name"": ""lovers""}, {""id"": 5096, ""name"": ""natural disaster""}, {""id"": 6281, ""name"": ""partnership""}, {""id"": 7051, ""name"": ""volcanologist""}, {""id"": 10084, ""name"": ""rescue""}, {""id"": 14601, ""name"": ""explosion""}, {""id"": 14760, ""name"": ""scientist""}, {""id"": 158272, ""name"": ""seismograph""}, {""id"": 163398, ""name"": ""volcanic eruption""}, {""id"": 164658, ""name"": ""rowboat""}, {""id"": 188351, ""name"": ""catastrophe""}, {""id"": 208580, ""name"": ""acid""}, {""id"": 211215, ""name"": ""county fair""}, {""id"": 215861, ""name"": ""abandoned mine""}, {""id"": 220844, ""name"": ""volcanic ash""}]","LindaHamilton PierceBrosnan","RogerDonaldson"
"20",20,"Fantastic Four",558,4,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",38.126095,100,1994,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Marv Films"", ""id"": 5374}, {""name"": ""Marvel Entertainment"", ""id"": 7505}, {""name"": ""Constantin Film."", ""id"": 9078}, {""name"": ""Moving Picture Company (MPC)"", ""id"": 20478}, {""name"": ""TSG Entertainment"", ""id"": 22213}, {""name"": ""Genre Films"", ""id"": 28788}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]","[{""id"": 3822, ""name"": ""teleportation""}, {""id"": 4375, ""name"": ""transformation""}, {""id"": 5086, ""name"": ""telekinesis""}, {""id"": 7939, ""name"": ""portal""}, {""id"": 8828, ""name"": ""marvel comic""}, {""id"": 9715, ""name"": ""superhero""}, {""id"": 9717, ""name"": ""based on comic book""}, {""id"": 155030, ""name"": ""superhero team""}, {""id"": 160117, ""name"": ""fantastic four""}, {""id"": 191564, ""name"": ""body horror""}, {""id"": 205731, ""name"": ""invisible woman""}]","ChrisEvans HamishLinklater IoanGruffudd JessicaAlba MichaelChiklis","TimStory"
"21",21,"Around the World in 80 Days",3197,3.23333333333333,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",22.643776,120,2004,"[{""name"": ""Studio Babelsberg"", ""id"": 264}, {""name"": ""Walden Media"", ""id"": 10221}, {""name"": ""Babelsberg Film"", ""id"": 19481}, {""name"": ""Mostow/Lieberman Productions"", ""id"": 23636}, {""name"": ""80 Days Productions"", ""id"": 53413}, {""name"": ""Spanknyce Films"", ""id"": 53414}, {""name"": ""Fitzwilliam Productions"", ""id"": 53416}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""IE"", ""name"": ""Ireland""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]","[{""id"": 90, ""name"": ""paris""}, {""id"": 212, ""name"": ""london england""}, {""id"": 242, ""name"": ""new york""}, {""id"": 385, ""name"": ""jules verne""}, {""id"": 582, ""name"": ""san francisco""}, {""id"": 1847, ""name"": ""istanbul""}, {""id"": 3497, ""name"": ""hot air balloon""}, {""id"": 5973, ""name"": ""journey round the world""}]","JackieChan JimBroadbent SteveCoogan","FrankCoraci"
"22",22,"Town & Country",2467,2,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",1.004579,104,2001,"[{""name"": ""New Line Cinema"", ""id"": 12}]","[]","[{""id"": 2301, ""name"": ""architect""}, {""id"": 3457, ""name"": ""cellist""}, {""id"": 9713, ""name"": ""friends""}, {""id"": 190816, ""name"": ""anniversary""}]",NA,NA
"23",23,"Planet of the Apes",4056,2.96644295302013,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",51.188633,119,2001,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Tim Burton Productions"", ""id"": 8601}, {""name"": ""Zanuck Company, The"", ""id"": 20004}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]","[{""id"": 690, ""name"": ""gorilla""}, {""id"": 1826, ""name"": ""space marine""}, {""id"": 1828, ""name"": ""space suit""}, {""id"": 2020, ""name"": ""revolution""}, {""id"": 2552, ""name"": ""chimp""}, {""id"": 2831, ""name"": ""slavery""}, {""id"": 3801, ""name"": ""space travel""}, {""id"": 4379, ""name"": ""time travel""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 10158, ""name"": ""alien planet""}, {""id"": 14759, ""name"": ""ape""}, {""id"": 207569, ""name"": ""human subjugation""}]","HelenaBonhamCarter MarkWahlberg","TimBurton"
