X1,X2,X3,X4,X5,X6
19951106,19951106,"St. Augustine, FL",NA,20 sec.,"Anon. rpt. of bizarre obj. that &quot;looked like the Shuttle&quot; moving S to N across sky, 20 deg. in 20 sec.. Visible exhaust plume. Bright."
19950628,19950628,"Lisbon, ME",NA,NA,Young man looking out window sees very  bright &quot;star&quot; drifting slowly across sky.  Calls police. Two witnesses.
19950314,19950314,"Fontana, CA",NA,5 min.,"Nine adults witnessing 6-8 objects moving in western sky.  Shaped like arrow, then square.  Many 911 reports."
19950306,19950307,"Hilltop, NJ",NA,5 sec.,Young boy reports seeing oval-shaped object w/ &quot;lots of lights. (Got tel. # from I. Asimov book.)
19950506,19950516,"Lebanon, OR",NA,NA,"Woman repts. seeing two large, bright objects, like &quot;funnels of light,&quot; in eastern sky from top of Snow Peak."
19950730,19950730,"Newtown, CT",NA,30 sec.,Man &amp; wife witness two sightings of an obj. moving across sky very fast.
19950822,19950822,"Prescott, AZ",NA,2 sec.,"Father &amp; son witness strange obj. streak across sky &quot;in clump of cloud.&quot;  Seconds later, they crest hill, obj. is gone, no clouds vis."
19950207,19950207,"Quilcene, WA",NA,20 sec,"Bangor Facility empl. witnesses 6 strange lights over Quilcene, WA, on way to work.  20 sec. sighting. Good report."
19950909,19950910,"Silverdale, WA",NA,2 sec.,Man outside smoking witnesses 3 &quot;dull orange&quot; circular craft streak overhead to west.  Each approx. 1/4 diameter of full moon.
19950328,19950328,"Cordova, AK",NA,15 min,"A public employee calls NUFORC to report a very dramatic sighting in the outskirts of Cordova, AK.  The person was driving in the vicinity of the Cordova Airport, when the witness reports observing a &quot;clump of fog&quot; jumping across the roadway in front of the car.  The witness&apos;s attention is immediately drawn to the event, although concludes that it must just have been fog being swept over the roadway.  A few seconds later, witness sees the same event, but the &quot;object&quot; is now closer, and more visible.  The circling event occurs a total of six times, and is concluded when a strange looking object is hovering over the right-front fender of the witness&apos;s car.  The witness proceeds to drive many more miles toward the town of Cordova, when the witness becomes aware of two large, disc-shaped objects sitting in a meadow beside the roadway.  The witness calls the next morning, and is quite emotionally upset by the experience.  Reports that the event was quite dramatic."
19950404,19950404,"Folsom, NJ",NA,NA,"Woman repts. stationary light in sky, which dims when aircraft pass by."
19950228,19950302,"Harrisonburg, VA",NA,NA,"Journalist calls seeking information regarding recent multiple sightings near Harrisonburg, VA."
19950222,19950222,"Vancouver, WA",NA,4 sec.,"Multiple witnesses, newspaper article about green obj streaking to north. Many calls to media."
19950912,19950914,"North Haven, CT",NA,5 min.,"Woman observes bizarre object hovering motionless in cemetary.  Looked like &quot;large, bright red bicycle helmut w/ speckles on it.&quot;"
19950824,19950825,"Battle Creek, MI",NA,NA,Older woman reports witnessing &quot;a square thing w/ a lot of lights&quot; that descended out of night sky.  (Facts incomplete.)
19950130,19950130,"Jacksonville, FL",NA,90 sec.,"Man and wife were driving north on I-95 and observed what he thought was a &quot;landing light&quot; in the clear night sky, which  appeared to be &quot;pointed&quot; at him.  Then he witnessed a second light, more orange, and smaller than the first, which faded from view in about 5 seconds after first being observed. The pair of lights then appeared to split into two and continued flying to the southeast, one above the other now.  They then appeared to fade out rapidly."
19950829,19950829,"Boise, ID",NA,1 sec.,Man repts. sighting bright white light streaking E to W 60 deg. above S horizon.  1/3 diameter of full moon. 2nd sighting by others.
19950121,19950122,"Seymour, TN",NA,3 min.,"A man and his fiancee were returning from TN to their home in western NC.  They had turned from Route 441 to Route 411 and had driven south approximately 3 miles, when they observed a huge triangular ship, estimated to be 50 yds. in width, hovering less than 100 yds. off the ground.  It was virtually motionless in the sky, except when it was to seen to rotate horizontally.  It had a red and blue light on the ventral side, and there were either 3 or 4 strange lights on what was taken to be the trailing edge of the craft.  Observed for 2 or 3 minutes.  The observers were awed by what they had seen.  They said it was very similar to the triangular craft reported over Belgium, which they had seen described on television."
19951022,19951024,"Bessemer, AL",NA,15 min.,"Man, wife, 2 children,  driving down long hill, see bizarre cluster of lights, &quot;like Christmas tree in the sky.&quot;  Multiple witnesses."
19950916,19950916,"Seattle, WA",NA,20 sec.,Man repts. large &quot;vee-shaped boomerang w/ fluorescent light on leading edge&quot; pass slowly overhead.  Estimated 500&apos; altitude.
19941231,19950426,"West Union, OH",NA,NA,"Young man repts. seeing orange dot, which fluttered, descended, disappeared, then suddenly reappeared w/ 3 other objs."
19950423,19950423,"Bradenton, FL",NA,5 min.,"Man &amp; wife witness &quot;Armada of bright objs,&quot; streak across sky in formation.  Fly SE.  Very unusual.  Not meteors!((NUFORC Note:  No other information provided by witness.  Witness elects to remain anonymous.  PD))"
19950222,19950222,"Seattle, WA",NA,4 sec.,Multiple calls regarding green obj. streaking NNW from Renton to Paine Field.  Low alt. (?)  One witness repts. it hovered.
19950314,19950319,"N. Judson, IN",NA,NA,Man reports sighting. ( Facts unclear; no return call.)
19951116,19951116,"Elk Grove, CA",NA,40 sec.,"Woman outside smoking sees bizarre craft &quot;w/ red lights&quot; pass silently overhead.  When she peered around house, was gone."
19950202,19950203,"Denmark, WI",cone,75 min,"Caller, and apparently several other people, witnessed multiple strange craft streaking through the night sky in vicinity of Denmark and Mirabel, WI.  Craft were seen to streak overhead, as well as to descend vertically, as fast as a meteorite, then stop suddenly just above the ground.  During the last 30 minutes of the sighting, aircraft, which appeared to be U. S. military craft, were seen either pursuing, or chaperoning, the strange craft.. Objects were cone-shaped, with a red nose and a green tail (sic)."
19941209,19950607,"Cromwell, CT",NA,8 min.,"Woman witnesses bizarre cluster of lights overhead, humming sound, sees strange beam of light &quot;scanning&quot; ground.  Exclnt rept."
19950625,19950627,"Sioux Falls, SD",NA,NA,UFO investigator relays rept.:  his son and other children rept. witnessing 4-5 red objs. 4 miles W of city.  Two objs. seen to land.
19950809,19950809,"Fresno, CA",NA,15 min.,"Couple witness multiple red/purple globular objects, &quot;the size of cantaloups,&quot; moving across yard!  Witnessed 10 objects at once!"
19950825,19950825,"Kansas City, KS",NA,NA,Telephoned Report: Man calls to report AP news wire report regarding object over W Pennsylvania.  Report appears to contain multiple tech. errors.
19950109,19950307,"Marion, NY",NA,3 min.,Young girl sees bright light streaming through bedroom window.  Sees 4&apos; humanoid &amp; weird lights in yard.
19950507,19950510,"Cannon, NH",NA,1 min.,"Woman momentarily &quot;blinded&quot; by bright flash of light directed at her face.  She &amp; husband witness thin disc, streaks off FAST."
19950913,19950913,"Corpus Christi, TX",NA,10 min.,"Man out walking sees bizarre obj., w/ pulsing red light on top, beaming light on house!  Obj.  was approx. 1/2 block distant."
19950808,19950809,"Oregon City, OR",NA,30 min.,"Former U.S.Army officer (Ph.D.)  reports strange cluster of lights, &quot;like Christmas lights,&quot; moving overhead.  Neighbor sees object."
19950204,19950204,"Chimacum, WA",NA,NA,Man reports four lights now sitting still.  (Agrees they probably are advertising lights.)
19950722,19950723,"Santa Clara, CA",NA,30 min.,"Mr. Peter Davenport National UFO Reporting CenterPO Box 45623, University StationSeattle, WA 98145Dear Peter,Along with my report, I have enclosed a hand-written report from Ben Kwong who witnessed the same UFO&apos;s with me on Saturday, July 22, 1995.  Mr. Kwong is an engineer and lives in San Jose.  I did not get a written report from his 12-year-old son, Michael, but will send it to you if he writes one.  I believe that the reports from Mr. Kwong and myself should be thorough enough.  The only difficulty in writing our reports would be regarding the order in which we saw everything happen.  This is due to the fact that we saw up to five UFO&apos;s (four to five in the air at once).  We were not always looking at the same UFO at the same time.  Since there were several UFO&apos;s in the sky at once during our sighting, we didn&apos;t always focus on the same UFO&apos;s.  Anyway, the following is my accounting of what we saw.  Also, please note that I may have incorrectly given you the time of the sighting as being between 10:30 AM and 11:00 to 11:15.  The time was between 9:30 AM to 10:00 or later.  It was definitely for at least a half hour, maybe an hour (I began teaching my tennis lesson at 9:00 and noticed the first UFO at about 9:30.  When I arrived at home, 2 min. away, it was about 11:00 but I don&apos;t recall watching the UFO&apos;s for more than 45 min. to an hour at the very most -very minimum was a half hour).To whom it may concern:On Saturday, July 22, 1995 at 9:30 AM I, along with Michael Kwong (age 12), and his father (Ben Kwong), had a UFO&apos;s sighting which lasted for at least a half hour (to 10:15 AM or later) over the sky of Santa Clara, CA, from the Marina Playa Apt. complex tennis courts located at 3500 Granada Ave. and Lawrence Expressway (El Camino is a close cross street of Lawrence Expressway).  The sighting first began at 9:30 AM when I was teaching Michael Kwong a tennis lesson.  Michael was practicing his serve and was tossing the ball in the air.  I looked at the ball toss as it went up and noticed that the moon was out.  I also noticed an object by the moon which I took to be a star and appeared stationary like a star.  I looked at the object again and thought it might be moving slowly.  The object appeared to be moving slowly at a very high altitude, perhaps just within the atmosphere or at least at a very high altitude.  I spoke to Michael and began to say things out loud like, &quot;What is that?  What the heck is that?  It&apos;s not an airplane.&quot;  Michael looked up at it as well.  I stopped the lesson out of curiosity to watch this object.  I walked over to the fence and yelled to Ben Kwong, who was sitting in his car reading the newspaper.  I asked him to come out of his car to get a look a the object so we could figure out what it was.  He stood down below the tennis courts, looking up at the object as I and Michael were too.  Then Mr. Kwong came up to the court and all three of us continued to watch the object.  The object looked completely round and whitish in appearance (perhaps due to the altitude or even entering the atmosphere?).  The object slowly moved away from the moon and then curved a slowly headed back toward its original position, and then it appeared to hover and then start to move slowly again.  We watched this object for a few minutes and then we saw another object which looked had the same appearance as the first object.  I don&apos;t remember if Mr. Kwong or I spotted the next object first (Mr. Kwong&apos;s son is near sighted, so he had a harder time seeing).  I believe we watched until finally we saw at least four of the whitish objects in the sky.  At one point it appeared like they were hovering and moving slowly in four corners of the sky.  When they were closer to us, they appeared metallic, sort of a metallic, silver to silver-blue in color.  When they were higher up they initially appeared to be more whitish in color.  Anyway, we continued watching several of these objects as they moved slowly, stop, and move in bizarre paths, unlike airplanes.  They were very high but left no exhaust trail.  They moved and changed direction, unlike weather balloons or satellites.  At some point, after watching the (I&apos;ll call them silver, or metallic-silver/blue) objects, Ben and I noticed a red UFO, completely round like the others, but a metallic-red in color.  We then both observed a silver UFO and the red UFO in a staggered formation, with the silver UFO leading in front to the left of the red UFO (doing what appeared to be the same speed).  We noticed another red object at a lower altitude slowly moving up into the sky (not metallic, but more of an all orange to orange-red in color).  I didn&apos;t, nor did Ben, take much notice of this object as it slowly went up into the sky.  It could have been a balloon and didn&apos;t have the metallic look of the other objects which were very high in the sky.  At some point, the silver UFO&apos;s would just disappear from sight.  I don&apos;t know where they went, maybe out into the upper atmosphere,  Then sometimes one would come back into view.  The red UFO really caught my attention next.  Ben had lost sight of it (you really had to &quot;track&quot; with your eyes without looking away from the UFO&apos;s or it would take a few seconds to find some of them again).  Anyway, I told Ben that I could see the red UFO again.  I saw it moving very slowly up in the sky and then it suddenly shot through the sky at an amazing speed.  I said, &quot; There it goes! There it goes! Look at it go!&quot;  Ben kept saying that he couldn&apos;t find it.  We watched some of the other UFO&apos;s until it seemed that there were no more to see (they had all gone, but we didn&apos;t see them leave).  We had about given up on seeing any more UFO&apos;s up there when I caught sight of the first or perhaps another red UFO.  I told Ben to look up as I pointed to its location.  Ben said he could see it.  Suddenly the red UFO shot across the sky at an amazing speed, much much faster than any jet or rocket could fly (we were watching regular passenger jets crawl across the sky every once in awhile as we watched the UFO&apos;s.  The passenger jets, and some jets which may have been military from Moffet Field, were at a much lower altitude than the UFO&apos;s, a testimony to the speed of the UFO&apos;s).  I kept pointing at the red UFO as it sped across the sky.  We were both in awe, and were both speaking out loud in our amazement of the speed of the object (&quot;There is no way that can be a jet.  Nothing is that fast.  Look at it go.&quot; -etc., etc.).  As I was moving my finger across the sky, tracking the object (in what would take a jet several minutes to travel, I followed the object across the sky in less than ten seconds.  It was still at a very high altitude as well), Ben said he could see a silver UFO right next to the red one.  I said I only could see the red one, but just before the red UFO completely went out of sight, I could see another UFO, a silver one, very close to the red UFO or joined to it.  We were then completely convinced that we saw UFO&apos;s, things which are not man-made.  We didn&apos;t see any more UFO&apos;s for a few minutes, so I resumed my tennis lesson, although I had a very hard time teaching.  We stopped a few minutes later.  I looked up again and saw one lone silver UFO (up so high that it appeared white).  It was hovering and then started to move slowly again.  I told Ben and Michael that there was another one up there.  At this point, we already saw the most exciting part of our sighting (the red UFO &amp; silver UFO shooting off).  Our necks were tired from the strain of looking up, almost straight up at times for over a half hour (possibly an hour or more, as Ben stated, although I can&apos;t be sure).  We really didn&apos;t take much notice of this UFO and we didn&apos;t see it disappear from sight, but it did a couple of minutes later.  We parted between 10:30 and 11:00 AM.  I went back to my apartment and called some TV stations to see if anyone had reported anything (I really thought SOMEONE would have witnessed what we saw and would report it.  The TV station personnel said nobody else called in, plus they seemed rather skeptical of my story.  That annoyed me a bit.  I then called the Air Force in Santa Clara County.  They switched me from command post to command post.  I gave my story up to three times perhaps.  They asked me at what time I saw the UFO&apos;s, took my story, and then said they would transfer me to another command post and to just tell them the same thing (that I told the first people I contacted).  Finally, the Air Force gave me the phone # of the National UFO Reporting Agency (for whom I am writing this report).  I, after giving my story to Peter Davenport, was made aware of the fact that another person in California reported seeing up to five UFO&apos;s on the same day I had my sighting.  This was my first time every seeing anything like this in my life (I&apos;m 29-years-old, teach tennis and am also a computer specialist teaching elementary school.  Ben, like I said, is an engineer.  So I believe we are both credible people).End of ReportI&apos;m waiting to get my grandmother&apos;s written report of her two sightings and my mother&apos;s report of a sighting (these all happened many years ago).  I was afraid to mention their sightings because I thought it might make my sighting less credible.  I indeed immediately felt I had something to share with them and also wanted them to retell of their sightings as well.  My grandmother&apos;s sightings are of particular interest to me since she saw a UFO in the Almaden area of San Jose, CA some 58 years ago.  I teach in this area and my ancestors first settled there in the 1860&apos;s.  Someone emailed me who lives in Almaden to tell me she and her daughter &amp; 14-year-old son had sightings in Almaden.  She said that her son saw one hovering over the school that I teach at.  This was before she even knew that I teach at this school!  Anyway, I don&apos;t know how many people you can believe on the Internet re. sightings, but I know what I saw, and that&apos;s good enough for me.  The only other strange thing I observed in my life was described to me by someone on the Internet as being &quot;ball lightening&quot; or something like it.  I was twelve-years-old at the time.  I don&apos;t know if that is UFO related or not.  Is it just a normal phenomenon.  It happened indoors.  It went under a cot.  The cot shot straight up in the air, about five feet, and there was nothing underneath the cot!  The object was indefinable in shape, just grayish/white, and swirling.  It seemed to react to me as I entered the room and skimmed across the floor.  Any ideas?Sincerely,William D. Baileywbailey@cello.gina.calstate.edu"
19950322,19950322,"Redmond, WA",NA,20 min.,"MUFON member &amp; husband witness 2 very bright lights, apparent size of Jupiter,  move W to S."
19950222,19950222,"St. Louis, MO",NA,4 sec.,Police off. sees strange &quot;plate&quot; streaking over city. 50-100yds length. Strange glow. &quot;Inch worm&quot; type flight. Excellent rept.
19950312,19950312,"Norfolk, VA",NA,3 hrs.,Four adults witness &quot;star&quot; that moved to the northern sky.  May have been other tiny objects around it.
19950603,19950603,"Goldsboro, NC",NA,3 sec.,"Man repts. two sightings minutes apart.  Sees very bright light, &quot;like meteor,&quot; streaking to NE.  Sees minutes later going SE."
19950103,19950103,"Salinas, CA",NA,15 min.,"Telephoned Report:Young woman witnessed &quot;string of lights&quot; for 15 min. in overcast sky.  Winked off, then back on several times."
19950325,19950326,"Salinas, CA",NA,20 min.,"Man &amp; wife hear approaching &quot;thumping&quot; sound.  See two bright red, pulsing triangles in sky fly from NW."
19950804,19950804,"Lynnwood, WA",NA,NA,"Man witnesses 5  very luminous, &quot;crescent-moon shapes&quot; pass overhead."
19950730,19950730,"Highpoint, NC",NA,2 sec.,Man sitting on lawn hears obj. pass overhead very fast.  Distinct humming tone.  Repts. it sheared limb off tree.
19950612,19950612,"Fort Wayne, IN",NA,30 min.,Man reports &quot;bright object with flashing color&quot; in southern sky.  (Possible planet?)
19951113,19951117,"Lake Oswego, OR",NA,12 min.,Woman repts. three peculiar green beams of light overhead.  (MUFON investigator reptd. was probably laser-based adv. light.)
19950312,19950312,"Columbia, SC",NA,30 sec.,Driver &amp; passenger witness &quot;triad of extremely bright lights&quot; in perfectly triangular pattern. Lights faded.
19950720,19950720,"Port Orchard, WA",NA,25 min.,"Daughter wakes parents, all 3 witness bizarre craft w/ colored lights hover nearby. Chased w/ car. Obj. zigzags, disappears."
19950415,19950416,"Earlville, PA",NA,30 sec.,"Young man repts. daylight sighting of egg-, or cigar-, shaped silver object.  (See other sightings from Phila./Pottstown PA.)"
19950822,19950823,"Phoenix, AZ",NA,30 sec.,"Many witnesses see obj., &quot;like missle w/ yellow fire shooting out back,&quot; pass directly overhead.  Obj. appeared to eject small obj."
19950131,19950131,"Alexandria, LA",NA,2 min.,"FAA Controller at Houston Center reports sighting by crews of two airliners 60 miles northwest of Alexandria, LA.  They were at 31,000 feet southwest-bound, and both report strange lights above them doing strange gyrations in the night sky.  Two lights visible."
19950914,19950914,"Mason, MI",NA,40 sec.,"Woman sees small, white light--&quot;like a giant lightning bug&quot;--move along wind row of trees.  Very bizarre."
19951002,19951002,"N. Providence, RI",NA,3 min.,"Man witnesses &quot;small white dot, that came out of clouds.&quot; Was slow-moving, white, w/ &quot;red on tail.&quot;"
19950716,19950718,"Cherry Hill, NJ",NA,NA,"Dentist, 2 lifeguards, and others see same black dot that had been seen 3 wks. earlier. (See 27JN95 event.)"
19951003,19951003,"Volinda, CA",NA,NA,Woman &amp; 4 neighbors witness &quot;bright red light moving slightly across the sky.&quot;
19951027,19951027,"Siletz, OR",NA,15 min.,"Woman &amp; 3 witnesses rpt stat. obj flashing white, green, red lights.  Zigzags dramatically. (Reptd. 02NO95 obj. not visible in sky.)"
19950611,19950615,"Ogden, UT",NA,2 min.,"Golfer observes round, silver-gray obj. size of small car moving across face of mtn. Flies up 3 ravines, ascends, disappears."
19950210,19950426,"Cannon Beach, OR",NA,10 sec.,Man in motel room sees &quot;flash of red light in eyes.&quot;  Sees bright light in room. Sees bright &quot;star&quot; below overcast to south.
19950823,19950823,"Puyallup, WA",NA,10 sec.,Young woman driving to work sees &quot;mushroom-shaped obj. w/ ring around it&quot; streak over hwy.  Sees 2nd obj.. Very alarmed.
19950317,19950322,"Evington, VA",NA,2 min.,"Woman sees &quot;star&quot; approach, stop, descend, move forward, disappear. Other multiple sightings near Lynchburg."
19950630,19950706,"Port Angeles, WA",NA,5 days,"Man repts. multiple sightings of up to 10 bright objects streaking overhead during 26-30JN95.  Very bright, solid lights &quot;like stars.&quot;"
19950929,19950929,"Manchester, ME",NA,10 min.,"Man &amp; son driving on I-95 see strange, stationary light, then 2nd streaks up.  First obj. approaches car.  Son recalls details of ship."
19950929,19950929,"San Francisco, CA",NA,6 sec.,Woman sees a bright white obj. hovering steadily in daytime sky.  1/5 size of moon. Suddenly got smaller. (Was soap bubble in sky.)
19951104,19951108,"Alfalfa, OR",NA,10 sec.,"Young man (MUFON trainee) &amp; girlfriend witness a &quot;straight, triangular beam of light&quot; projected down (?) from cloudy sky."
19950924,19951009,"Maple Valley, WA",NA,45 sec.,"Woman witnesses a &quot;ball, a bright light,  floating across sky.&quot;  It &quot;zigzagged, faded, shot straight up.&quot;"
19950724,19950726,"Arlington, IL",NA,20 sec.,"Man repts. seeing &quot;whole sky light up.&quot;  Flash appeared to be from very high up, very bright, stationary, and cast shadows."
19950817,19950821,"Granite, WA",NA,15 min.,"Woman, son, &amp; neighbor witness &quot;large, oval-shaped bright, magenta light&quot; below clouds.  Light blinked on and off 3x in 2 sec.."
19950315,19950318,"S. Greensburg, PA",NA,NA,"Woman witnesses large ball of bright white light flying NW to SE. Turns blue, vanishes instantly. Silent."
19950619,19950620,"Cottonwood, CA",NA,90 sec.,Two boys report witnessing 2 bizarre yellowish-white objects fly overhead.  Reported to local sheriff&apos;s office.
19950403,19950404,"Bakersfield, CA",NA,3 hrs.,"Woman &amp; boyfriend witness 3x strange obj., &quot;sheet of green, laser&quot; light.  Project beams of light to ground."
19950618,19950619,"Fall River, MA",NA,2 min.,"Two men driving on Rte. 195 witness bizarre obj. hover overhead.  Brightly lighted, &quot;size of DC-9 w/ 60 deg. sweep to wings.&quot;"
19950420,19950420,"Watauga, TX",NA,15 sec.,"Man repts. obj. fly overhead W to E.  Looked like 4 lights in a square pattern, blue in front, 3 white lights on other corners."
19950914,19950914,"Douglas, AZ",NA,15 min.,Young woman returning from church w/grandmother witness strange obj. w/ &quot;flashing lghts going in circles.&quot; Cell phone had static.
19951112,19951112,"Las Vegas, NV",NA,45 min.,"Woman repts. two stationary, &quot;colorful,&quot; lights to W &amp; NW of her position.  (Description not inconsistent w/ twinkling stars.)"
19951029,19951029,"Kodak, TN",NA,1 min.,"Man &amp; wife witness very bizarre obj. moving erratically in sky.  &quot;It looked like an airplane, but it wasn&apos;t (one.)&quot;  1 blinking light."
19950425,19950425,"Brooklyn, OH",NA,NA,"Man report strange, machined metallic sphere in backyard.  Calls later to rept. that son, a metallurgist, had left it there."
19950102,19950102,"New Port Richey, FL",NA,15 Sec.,"Telephoned Report: Man witnesses huge, &quot;coin shaped&quot; orange object.  Accelerated very fast and streaked off &quot;like lightning.&quot;"
19950805,19950806,"Woodland, WA",NA,2 sec.,"Woman &amp; daughter witness strange, very bright, green obj. streak in E sky.  &quot;As big as moon.&quot;  Seen twice by others previous week."
19950826,19950829,"Phoenix, AZ",NA,3 min.,"Man witnesses a &quot;blue, spherical object go across the sky slowly.&quot;  Obj. was below clouds.  Slightly smaller than full moon."
19950624,19950624,"Snoqualmie, WA",NA,2 sec.,"Young man driving E on I-90 witnesses streamlined, delta-shaped obj. streak across clear, blue sky.  Excellent rept."
19951111,19951111,"Rock Island, WA",light,20 sec.,"Man was stopped at intersection, when he saw a very bright, silver colored light move across the full width of his vehicle&apos;s windshield, obscured by the darkened strip of glass at the top.  When the object reached a cloud of fog &quot;just above the Clockum,&quot; it blew up into many fragments. The observer was facing east, and the object was flying north to south.  It &quot;just dropped into the mist and exploded.&quot;  No sound!!"
19951001,19951002,"Piedmont, CA",NA,NA,"Woman repts. &quot;big disc the size of a volleyball, very bright like a landing light, w/ a green tinge on top,&quot; flew over  house to N."
19950509,19950517,"Vista, CA",NA,10 min.,"Man repts. witnessing circular disc, 1/2 diam. of moon, moving very slowly across sky to W.  Stopped, disappeared."
19950306,19950307,"Burley, WA",NA,20 sec.,Woman witnesses a subdued &quot;arc of light&quot; move slowly across sky to ground level.  Saw helicopter later.
19950611,19950612,"Tacoma, WA",NA,2 min.,3 adults witness &quot;white balloon&quot; to south.  Then witness 3 triangular-shaped objects nearby.  They slowly drift into clouds.
19950707,19950728,"Canada, BC",NA,10 sec.,"Woman on flight from AK to Seattle sees bizarre, metallic-looking cylinder pass under aircraft wing.  Exclnt written rept.."
19950728,19950729,"Racine, WI",NA,2 min.,"Man &amp; wife witness bizarre, very bright, silver-looking disc in clear sky. Obj. was joined suddenly by two identical craft."
19950830,19950830,"Bakersfield, CA",NA,NA,"Man reports very brilliant, red object rising in western sky.  (Rocket??)"
19950210,19950210,"Seattle, WA",NA,30 sec,"Woman, out walking dog, sees bright bluish light rise from Pug. Sound, turn, then zip off.  No sound. Good rept."
19950904,19950904,"Colorado Springs, CO",NA,NA,"Man repts. witnessing a &quot;bright star&quot; in night sky, with white, red, green,  blue colors.  Began to move, then suddenly disappeared."
19951002,19951002,"Santa Rosa, CA",NA,25 sec.,"Woman goes out to smoke, witnesses overhead &quot;something flapping its wings, like a pteradactyl.&quot;  Obj. flew NW. Had blue lights."
19950925,19951001,"Lake Oswego, OR",NA,NA,Man reports witnessing &quot;black disc&quot; above his garage.  Obj. was &quot;flipping. (Same person reports other sightings on other dates.)
19950206,19950206,"Bloomington, IL",NA,5 min,"Two truckers stop trucks, witness 3 &quot;vertical slashes of light&quot; beside highway. Both alarmed.  Dramatic sighting."
19950826,19950914,"Provo, UT",NA,3 min.,"UFO investigator witnesses bright, silver/white object approach over nearby mountains in approx. 5 seconds, hover for 2-3 minutes."
19950223,19950320,"Redding, CA",NA,NA,"Woman repts. hearing very loud noise outside house, sees huge, bizarre, black &quot;helicopters.&quot;  Strange!"
19950815,19950817,"Arcadia Shores, WA",NA,2 sec.,"Woman witnesses a &quot;quite large ball of light, almost the size of the moon,&quot; streaking across southern sky.  Obj. was round, no tail."
19950923,19951001,"Lake Oswego, OR",NA,NA,Man reports seeing peculiar flashing light above house in daytime sky.  Observed &quot;black disc overgarage.&quot;
19950117,19950117,"Bend, OR",NA,73 min.,"Woman awoke and went to kitchen for a drink of water.  She looked out her kitchen window, and saw an exceptionally bright green light, which she thought was the landing light on a local logging helicopter.  Then she noticed there was a &quot;wavy, lavender-red thing&quot; behind the light.  It hovered in the night sky for an hour, moving perceptibly across the sky.  One hour after she first observed the object, a smaller &quot;dot&quot; of light streaked up to the larger object.  A third object then became visible, and then all three faded from sight.  Very strange sighting."
