airport_name,link,title,author,author_country,date,content,experience_airport,date_visit,type_traveller,overall_rating,queuing_rating,terminal_cleanliness_rating,terminal_seating_rating,terminal_signs_rating,food_beverages_rating,airport_shopping_rating,wifi_connectivity_rating,airport_staff_rating,recommended
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,Michael Schade,United Arab Emirates,2015-02-12,I am a frequent traveller and I have seen my share of dysfunctional airports but nothing compares to the AUH airport. It did not catch up with its growth over the past few years and passengers have to pay dearly for that shortcoming. It took me 2h from stepping into the building until I reached the gate. There are long queues everywhere check in passport control security and even toilets. Staff are stressed and grouchy. There are at peak hours no seats anywhere in or near the gates. The old and rundown terminal 1 is even worse. I guess passengers have to put up with this till the new terminal opens in about two years.,NA,NA,NA,NA,1,3,NA,NA,NA,2,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,R Jones,United Kingdom,2014-12-21,Terrible airport! For a growing carrier like Etihad and the traffic growth all around the gulf Abu Dhabi seems to be lagging behind everyone else. In terminal 3 there are 6 bag drop desks for most of the Etihad fleet (that's over 100 a/c) and around 10 normal check in desks. Average queue time can be anything from 10mins to 1hr plus. Then all the passengers move across to boarder control where of course it is chaos again. Finally when you clear immigration and security you are presented with a terrible selection of shops restaurants and cafes and no seating what so ever (unless of course you don't mind sitting on the floor or the edge of a flower bed). Then when your flight is ready to board there is a single file queue to one maybe two people checking passports. So the queue here for a B777 or A340 is 15mins+. Then you board the a/c and you are away. From the moment you enter the airport to boarding the plane it is a nightmare. I hope the new midfield terminal will be better. I cannot imagine what the A380 with 450-500 passengers is going to look like in terminal 3! I really feel sorry for those passengers. The staff are very rude and not interested in the passenger experience and queuing for security is chaos as staff are shouting almost every world city for passengers to skip the queue for imminent departures so the flow of people in the queue is limited as people skip the queue. I didn't imagine this at all for a Middle Eastern airport.,NA,NA,NA,1,1,4,NA,NA,NA,1,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,Rohit Raj,India,2014-11-12,One of the worst International terminals I have traveled through in the last 5 years. This airport is simply not able to cater to the growing traffic and Etihad's massive expansion. Took almost 2 hours to clear immigration. The staff behavior near the immigration counter is very rude and partial. Just 4 or 5 counters for foreign passport holders (GCC Passport holders have separate counters) and the queues were long. There is no space at all for sitting just one central area - crowded all of the time. Long queues on all tunnels leading to boarding gates as the same tunnel is used by the arriving passengers. This airport is full of chaos.,NA,NA,NA,1,1,2,NA,NA,NA,1,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,Khurram Butt,United Kingdom,2014-11-11,I travelled with two little children MAN-AUH-ISB return. On both occasions we had to go to terminal 3 from terminal 1 and I found it very smooth. Security facilities and every thing was perfect. All luggage was received quickly and in perfect condition.,NA,NA,NA,10,5,5,NA,NA,NA,5,NA,NA,1
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,L Mellor,Sweden,2014-11-05,Last visited this airport in the 1980s. In a way I'll be sorry to see it go as its tiled doughnut satellites have stood the test of time architecturally speaking. Compare this with the monstrosity at Charles de Gaulle which seems to have aged in less than 10 years. The biggest problem in landing at the international airport is it take about 15 mins to taxi to/from the runway as the new airport terminal construction means that there are a series of contraflow taxi ways. I read a lot of complaints but I took a family of three young children through the terminal at 2:00am and nothing but praise for the staff and services. The Merc Taxis are spacious and not overpriced.,NA,NA,NA,7,4,4,NA,NA,NA,4,NA,NA,1
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,Dave Houlihan,United Arab Emirates,2014-08-07,Recent flight in Business class from AUH to DUB all is fine for Biz check in but once you get to airside pure chaos. Place totally overcrowded shops poor Etihad lounge packed no space don't even mention trying to board an aircraft with huge queues no Biz class priority and further security checks at the gate which has no waiting area. This is airport is severely effecting Etihads growth. I'll stick to DXB.,NA,NA,NA,2,2,3,NA,NA,NA,2,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,M Sawar,United States,2014-05-11,Would not recommend flying through this airport mainly due to lack of appropriate seating in at this airport including the business and first class lounges. Both the lounges were dirty and unkempt.,NA,NA,NA,1,1,1,NA,NA,NA,1,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,David Roberts,United Kingdom,2014-01-28,This is a new airport and its got to be the worst airport I have used it took almost 2 hours to get from our arrival gate to our new departure gate. The staff have no interest in helping you. How this airport works I have no idea its total chaos there is no organisation here. I will use Dubai or Doha in future.,NA,NA,NA,NA,1,2,NA,NA,NA,3,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,A Cooper,Australia,2013-02-04,The airport was clean with average facilities but the reason for the low score is the queue time at immigration. I got off my flight at 2am having flown business class into Abu Dhabi. There were 30 immigration counters open each with at least 60 people queuing. The process was so slow with staff leisurely processing customers at a rate of 3 minutes per person that it took 3 hours to get through. There were people complaining all around and the people stamping the passports seemed to be operating 'in their own time' which was extremely slow interspersed with conversation and joke breaks between counters.,NA,NA,NA,2,1,4,NA,NA,NA,3,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,M Eggleton,United Kingdom,2012-12-14,I travelled with Etihad from Melbourne to London. I don't know what terminal I was in but I wasn't that impressed. It was quite small and confusing. Lots of staff telling people where to go and you could quite easily go the wrong way and miss your connection. Facilities were ok but I was only there for half an hour so didn't use them or any of the shops. It could certainly do with improvement.,NA,NA,NA,6,4,4,NA,NA,NA,3,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,J Monsen,Denmark,2012-12-13,A transfer airport to avoid. I travelled from Turkey to Australia with a stop-over in Abu Dhabi and it was not a pleasant experience. Apparently 1.5 hrs hour is not enough to catch your flight - unless it's delayed which mine (luckily) were. It took about 25-30 minutes to get out of the plane onto a bus and drive to the airport. Then you had to walk to the transfer gates and stand in line for another 30-40 minutes for another security check meaning you are left running for your gate because boarding closes 20 minutes prior to take-off. You do not get to skip line because boarding for your flight had already started - quite frankly they make a huge deal out of stressing the difference between economy and first class passengers - only the latter are treated nicely. The information boards are not updated so only once I had arrived at the gate was I told that the plane would be delayed. At that point you're stuck in a gate with no access to any facilities. On the plus side there is free wifi but that's about it. I have no idea what any of the facilities in the airport was like.,NA,NA,NA,2,1,0,NA,NA,NA,0,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,Philip Loveder,Australia,2012-09-16,Abu Dhabi Airport isn't the most appealing of the world's airports but does have some virtues. The duty free stores are well stocked and the upper level food hall adequate enough. However (and this has been pointed out in previous reviews ad nauseum) the air-conditioning is just far to cold for normal passenger comfort. Virtually everyone had blankets over them while waiting for flights! The flight information boards are quite inadequate and even flights scheduled less than an hour from departure may not make it to the board. Seating is limited outside the direct gate areas.,NA,NA,NA,5,4,4,NA,NA,NA,3,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,Andrew Reid,Egypt,2012-06-28,Three and a half hour transit for CAI-AUH-MEL in terminal 3 only. Coldest airport ever! AC is set so high we had to get our jumpers out. Very spacious clean and lots of seats. Kid's play area is ok but mostly for under 6's and just a few cars and a play house. Free wi-fi and computer terminals. Not much to do for that length of wait - as a transit point it needs more activities. Also even though departure gate was directly next to arrival gate we had to walk to the other end of the terminal to the arrivals area clear security and then walk back again to the departure gate.,NA,NA,NA,5,4,5,NA,NA,NA,3,NA,NA,1
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,Mark Wilkins,United Kingdom,2012-06-06,Transfer from MAN to BKK. As a Silver member of an Etihad guest I can access the Al Reem lounge which is a big plus apart from duty free not a lot of things to do apart from free wifi. However as previous travellers note at peak times the security clearance for transit passengers can be very poor - I saw the longest line yet all the way back to T1 nearly on the way out but no queue at all for the return flight. Like a lot of other airports need to plan better for peak periods early morning early evening - if they do this it would get a lot better reviews.,NA,NA,NA,7,3,3,NA,NA,NA,3,NA,NA,1
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,Kurt Mueller,United Kingdom,2012-04-14,MAN-AUH-DAC. Arrived at T1 Gate 7 and my onward flight was on the same aircraft at the same gate some 90 minutes later. You can't beat that for convenience. T1 is clearly more cramped than T3 which I have used before and I found the ATMs hard to locate without directions from staff. Ironically before opening up the scanners at Gate 7 the security team there used the passenger waiting area as location for their smoking break - in direct view of the no-smoking notices. Makes you wonder about their professionalism.,NA,NA,NA,7,4,4,NA,NA,NA,4,NA,NA,1
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,Kurt Mueller,United Kingdom,2012-02-29,My first transit at AUH from DAC to MAN. Arrived at T3 with about 70 minutes between flights. As my departing flight also left from T3 the walking distance involved was refreshingly short. No queues at security. Only back-up was at document checkpoint at the gate. If you don't want to be forced to go through the duty free shop simply use the toilets after security as they have a second exit that leads to the gate concourse. My connecting flight left from a remote stand necessitating a relatively short bus transfer. All together a smooth and comfortable transit experience.,NA,NA,NA,8,4,5,NA,NA,NA,4,NA,NA,1
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,M Taylor,United Kingdom,2012-02-09,Through AUH to BAH. Arrived at a remote stand and bussed to Terminal. Clear signage made it easy to navigate along with plenty of Departure screens. As previously stated quite busy so seating can be a bit hit and miss but they can be found. However after 7 hours in the air a walk about was most welcome. Boarding through Gate 18 was bizarre a doorway that actually led to Gate 17 and 18. Even weirder was that two flights were through this door at the same time which led to confusion for passengers. Security was a drag with two flights passing through one metal detector and two x-ray machines. They got it sorted and we were bussed to another remote stand. Return was at night. Arrived at another remote stand and again a bus to the Terminal. I was travelling with an infant access to a stroller would have been advantageous at the gate. Upon arriving at Flight Transfer we found a fleet of strollers. Why position them here? A reasonably long walk down to Gate 34 (10 mins) with plenty of seating at the Gate in a clean and airy environment. Overall not a bad experience. Terminal 1 is rather dated but great for people watching and shopping. Terminal 3 is modern and bright but can involve a fair trek down to the Gates in the 30's. Be prepared is my advice. Roll with it as it can be busy and perhaps not follow the norm expected of some western airports.,NA,NA,NA,8,4,4,NA,NA,NA,4,NA,NA,1
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,P Sims,United Kingdom,2009-07-16,In and out of Terminal 3 this week. Very poor facilities for food and drink. In duty free I looked at cameras and Ipods. Both seemed expensive and on checking my preferred items they are cheaper on the UK High Street than so called duty free in Abu Dhabi. Buyer beware!,NA,NA,NA,2,3,3,NA,NA,NA,1,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,S Sharma,NA,2008-11-30,Etihad was a pleasant experience travelling between Sydney and Manchester but the stopover in Abu Dhabi was a big disapointment. Had 2 hours to spend here in either direction and found the airport to be small crowded noisy and smelling of cigarette smoke. Finding a seat and getting comfortable was next to impossible and hearing the announcements over the humdrum was difficult too. Hopefully the new terminals and expansions will do justice to the airline that the airport serves.,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0
abuja-airport,/airport-reviews/abuja-airport,Abuja Airport customer review,Antonio Tettamanzy,Brazil,2011-04-14,It was better than expected but can be quite messy sometimes. Currently (April 2011) the road which connects the airport to town is under maintenance and traffic at peak hours is nothing less than crazy so program yourself to go there early. In the passengers lounge there is absolutely nothing to do but a couple of convenience stores to buy soda and crackers. Toilets are decent but with no towels nor soap to wash the hands.,NA,NA,NA,3,3,3,NA,NA,NA,1,NA,NA,0
addis-ababa-airport,/airport-reviews/addis-ababa-airport,Addis Ababa Airport customer review,C Wajsberg,Israel,2014-07-29,Still the same dirty and poorly organized airport as I remember it was some years ago during my first visit. Duty free stores as much as you want but do not wake up some of the ladies working there when you fly in early in the morning and payment by credit card is a no go as 7% surcharge added to your bill. Nearly no food outlets and the few available do not look very inspiring . Long cues for security check but that I can still accept no food or drink even not water to be bought after passing security. Still using the colored sticker system that sometimes does not even seems to be of any use. If it was not for Ethiopian airlines giving your great value and service for the price they charge I would not use this airport or at least avoid it.,NA,NA,NA,3,3,2,NA,NA,NA,1,NA,NA,0
addis-ababa-airport,/airport-reviews/addis-ababa-airport,Addis Ababa Airport customer review,Alain Kupferman,Thailand,2013-06-26,Addis Ababa belongs to those airports which should be avoided whenever possible: chaotic queuing unclear announcements (if any) miserable business lounge.,NA,NA,NA,3,2,3,NA,NA,NA,2,NA,NA,0
addis-ababa-airport,/airport-reviews/addis-ababa-airport,Addis Ababa Airport customer review,Hendri Vorster,New Zealand,2013-01-14,The ATM didn't work and the credit card machines did not connect. People everywhere complaining about delayed flights. Communication of the ground staff was very poor if at all. Our boarding were moved 3 times from boarding gate no 1 to no 5. Nobody that worked there had an idea what was going on. About 100 people was trying to sort flights with one attendant with no information. Very poor for an airline.,NA,NA,NA,3,1,1,NA,NA,NA,2,NA,NA,0
addis-ababa-airport,/airport-reviews/addis-ababa-airport,Addis Ababa Airport customer review,C Wajsberg,NA,2012-12-03,I was only there flying in from Johannesburg and on to my next flight to Hong Kong I found this airport to be a small provincial airport. Terminal is dirty duty free dark and badly organized cloud nine lounge small and old fashioned. No separate security control for business class passengers and if there was one business class seemed to be really large on my flight that evening. After queuing a second time after security check to receive some kind of coloured bar on your boarding pass that tells when you can board the plane just wait until the duty officer calls for boarding be careful not to be pushed aside by the mass of people running towards the stairs. Conclusions - this airport needs an urgent upgrade and be totally reorganized as this place is a real shame compared to most other intl airports I visit.,NA,NA,NA,NA,1,1,NA,NA,NA,0,NA,NA,0
addis-ababa-airport,/airport-reviews/addis-ababa-airport,Addis Ababa Airport customer review,Harold Bush,NA,2009-10-26,Bole is modern and looks good. But it feels and works like an Eastern European or Cuban airport in the old days of the Cold War. Shops are 300% more expensive. Do not buy Ethiopian crosses and other metallic souvenirs as they will be confiscated or put in the hold. Do not take more that 250 birr out of the country if you plan to return. A friend of mine was leaving with 350 birrs but 100 was confiscated. He was told that on his return customs would return the cash. This is a lie. As our flight was cancelled due to a major technical matter (Ethiopian 757 engine caught fire on take off) we were allowed to go back into the country yet when he tried to get the 100 birrs back he was told it was not possible because it now belonged to Ethiopia. This is corruption en masse pure and simple robbery. 100 birr is just under 10 US$ but imagine if it was much more.,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0
addis-ababa-airport,/airport-reviews/addis-ababa-airport,Addis Ababa Airport customer review,P Bedson,NA,2007-11-30,A nearly new airport with not much traffic but high stress. Check in always takes forever - regardless of airline or class. You then have to pass through a series of subsequent security checks before reaching airside. Passport control is quite quick outbound but less than fast inbound (depending on how many flights land at the time) Airside is clean and spacious with reasonable coffee bars and a few duty free shops selling all the usual stuff you don't need or want. I'm not sure how well the airport will look in 5 years time - it seems to be aging rather quickly.,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,0
adelaide-airport,/airport-reviews/adelaide-airport,Adelaide Airport customer review,R Gonzaga,Malaysia,2013-09-10,Great little airport well laid out and easy to navigate. It is bright and spacious and there is free wi-fi which is painfully slow. Arrivals is a bit of a let down with you being forced to go through an arrival duty free shop. There is only one baggage carousel for international flights which makes it a problem if a large aircraft lands let alone multiple long haul flights. Customs is slow with numerous people asking you the very same questions. Perhaps they should consider having more people man the immigration booths and less customs staff. They obviously have little to do in such a small airport so are overzealous. On return check-in facilities were good friendly staff. There were many shops in the departure area which is a communal area for both international and domestic departures. The actual immigration and customs for international flights is a small area which is hard to miss! One other drawback is the pick-up and drop-off area what a mess! Overall I would give this airport the thumbs up but they need to make improvements to some of their services.,NA,NA,NA,7,3,5,NA,NA,NA,4,NA,NA,1
adelaide-airport,/airport-reviews/adelaide-airport,Adelaide Airport customer review,M O'Connor,NA,2010-09-14,When the new Adelaide airport was first opened they had a great system of long term car parking where a friendly guy in a van would pick you up after you parked and take you the terminal and vice versa with very little waiting time often from the car and back. In recent years they have introduced a bus that goes every 20 minutes. Most of the time we walk to and from the terminal because inevitably the bus is not in sync with the arrivals of planes particularly at night and the bus just sits at the car park and waits until the 20minutes is up and comes over the terminal so you are at your car before he has even left. They also used to have an area that was undercover for you to sit and wait at the car park so if it was raining you didnt get wet. Well last night at 7.30 we arrived back in Adelaide. it was pouring and we waited 25 minutes for the bus (he must have fallen asleep) and then he dropped us off at a point with no shelter and all the passengers and bags got very wet. No one was happy with the service and when you pay $50 to park your car I think it is reasonable to expect something better. First of all it there is no point in having such a large bus it is mostly empty and most people dont have 20 minutes to spare to catch the bus when the arrive at the airport and don't particularly want to wait 20 minutes when they arrive back from their trip. They want to get home asap. Why did the airport change a system that was exceptionally good to something very poor? It is such a shame as everything else about the airport is great.,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0
adelaide-airport,/airport-reviews/adelaide-airport,Adelaide Airport customer review,S Srinivasan,NA,2009-02-02,Found ADL to be a small but good airport. Maybe I got lucky but when I arrived at the international terminal there were no queues at immigration the officer was very friendly and welcoming bags were waiting for us by the time we made it to the carousel and customs/quarantine took no time at all. We were at the rental car counter within 30 minutes of landing. Departing through the domestic terminal early morning there were no queues at check-in or security plenty of seating was available and free WiFi was available. There was a fair variety of restaurants and shops which didn't fleece you too bad with their prices. It was a long walk however from security to our departure gate which was at the far end of the terminal.,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,0
adelaide-airport,/airport-reviews/adelaide-airport,Adelaide Airport customer review,James Short,NA,2004-12-05,Check-in for QF flight took under 5 mins and Qantas staff were very helpful in checking baggage through to LHR. Terminal is small but functional. We passed through 9am-10.30am on a Thursday. Clean ample toilet facilities small cafe and bookshop. Good facilities for size of Airport. New Terminal building well in progress and I believe set to open 2005.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
adelaide-airport,/airport-reviews/adelaide-airport,Adelaide Airport customer review,Neil Harvey,NA,2004-02-12,Adelaide International is like a big bus station with just 5 gates and no airbridges. It's quaint and friendly and beats big brother Melbourne hands down.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ahmedabad-airport,/airport-reviews/ahmedabad-airport,Ahmedabad Airport customer review,Marc Guillemard,France,2012-11-08,A small airport compared to Mumbai. Very recent and clean. For non Indian travellers be aware that without a print of your E-ticket you will not be allowed inside the airport! Once you are in everything runs smoothly queues are limited passport and luggage control is OK and you walk easily to your plane. Did not test food or drinks it's not the kind of airport where you need to be there hours in advance. All in all not a bad experience.,NA,NA,NA,7,4,4,NA,NA,NA,4,NA,NA,1
ajaccio-airport,/airport-reviews/ajaccio-airport,Ajaccio Airport customer review,Alistair Peckham,NA,2008-08-03,Good efficient airport but suffers from heavy summer traffic and due to the size of the airport there can be delays just due to the amount of flights which the airport can not handle. Also not the best allocation of seats. Security staff were very pleasant and polite. Also not many cues or waits for security or boarding.,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,0
albuquerque-airport,/airport-reviews/albuquerque-airport,Albuquerque Airport customer review,D Graubard,United States,2014-03-03,Great regional airport. Good food - reflecting the unique New Mexican cuisine. From drop off through ticketing and security shouldn't take more than 15 minutes. As stated before the observation area is nice and quiet - with good views of the Monzano mountains and the active runways. Decor is South-western and very classic - with a lot of the original building that existed prior to the terminal upgrade back in the 1990s. It's not O'Hare with lots of flight options but also not the delays and crowds. Just wish there were more flights as prices can be high to various hub cities.,NA,NA,NA,9,4,5,NA,NA,NA,4,NA,NA,1
albuquerque-airport,/airport-reviews/albuquerque-airport,Albuquerque Airport customer review,E Mabley,United States,2010-07-19,Albuquerque International Sunport is a functional medium-size US airport. There is only one terminal with 25 gates so walking distances are relatively short. The corridors are wide and ceilings are high so a bright airy feel. The airport is immaculate. The taxi and rental car shuttle rank are only about a hundred yards from the gate area exit and only steps beyond bag claim. The security queue moves relatively fast. The one negative is that food and beverage options are limited to a Quizno's a bar and grill a bakery offering mediocre sandwiches and a New Mexican restaurant offering very mediocre food.,NA,NA,NA,4,5,5,NA,NA,NA,3,NA,NA,0
albuquerque-airport,/airport-reviews/albuquerque-airport,Albuquerque Airport customer review,R Anderson,NA,2004-11-21,This is a good airport and one of the few I know of that offer free wireless Internet access. I found that while up in the observation area. One piece of advice. it is IMPOSSIBLE to find a gas station anywhere near the car rental building--which is not onsite and only gotten to via a bus from the terminal. If returning a car make sure to fill up your tank before taking the exit for the airport. I found this out the hard way.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
alderney-airport,/airport-reviews/alderney-airport,Alderney Airport customer review,J Tydeman,United Kingdom,2013-07-20,Flew into Alderney from Southampton. A lovely little airport. Very relaxed; friendly staff and a good shop and cafe (very good considering the airport is tiny). Taxis waiting right outside the main entrance and it only takes about 5 minutes if that to get from the aircraft to the terminal entrance. Very good all round.,NA,NA,NA,9,5,5,NA,NA,NA,4,NA,NA,1
algiers-airport,/airport-reviews/algiers-airport,Algiers Airport customer review,R Oussalah,Taiwan,2012-10-10,This is the first time in over a year I used this airport and I have to say that I am not disappointed. Its facilities are fair very clean pleasant to stroll through and spacious. The staff is pleasant and professional.,NA,NA,NA,7,4,5,NA,NA,NA,3,NA,NA,1
